,Condition,Date/Time,current,power,voltage
0,normal,Sat Nov  2 17:16:30 2019,0.11,1.55,14.05
1,normal,Sat Nov  2 17:16:31 2019,0.1,1.42,14.03
2,normal,Sat Nov  2 17:16:32 2019,0.09,1.29,14.05
3,normal,Sat Nov  2 17:16:33 2019,0.11,1.55,14.05
4,normal,Sat Nov  2 17:16:34 2019,0.11,1.55,14.04
5,normal,Sat Nov  2 17:16:35 2019,0.09,1.29,14.05
6,normal,Sat Nov  2 17:16:36 2019,0.11,1.55,14.06
7,normal,Sat Nov  2 17:16:37 2019,0.12,1.68,14.05
8,normal,Sat Nov  2 17:16:38 2019,0.11,1.55,14.05
9,normal,Sat Nov  2 17:16:39 2019,0.12,1.68,14.05
10,normal,Sat Nov  2 17:16:40 2019,0.1,1.42,14.05
11,normal,Sat Nov  2 17:16:41 2019,0.12,1.68,14.05
12,normal,Sat Nov  2 17:16:42 2019,0.1,1.42,14.04
13,normal,Sat Nov  2 17:16:43 2019,0.12,1.68,14.04
14,normal,Sat Nov  2 17:16:44 2019,0.12,1.68,14.05
15,normal,Sat Nov  2 17:16:45 2019,0.12,1.68,14.05
16,normal,Sat Nov  2 17:16:46 2019,0.09,1.29,14.05
17,normal,Sat Nov  2 17:16:47 2019,0.12,1.68,14.05
18,normal,Sat Nov  2 17:16:48 2019,0.08,1.16,14.05
19,normal,Sat Nov  2 17:16:49 2019,0.12,1.68,14.05
20,normal,Sat Nov  2 17:16:50 2019,0.11,1.55,14.05
21,normal,Sat Nov  2 17:16:51 2019,0.12,1.68,14.05
22,normal,Sat Nov  2 17:16:52 2019,0.09,1.29,14.04
23,normal,Sat Nov  2 17:16:53 2019,0.09,1.29,14.05
24,normal,Sat Nov  2 17:16:54 2019,0.08,1.16,14.05
25,normal,Sat Nov  2 17:16:55 2019,0.12,1.81,14.05
26,normal,Sat Nov  2 17:16:56 2019,0.1,1.42,14.05
27,normal,Sat Nov  2 17:16:57 2019,0.1,1.42,14.05
28,normal,Sat Nov  2 17:16:58 2019,0.12,1.81,14.05
29,normal,Sat Nov  2 17:17:00 2019,0.12,1.81,14.08
30,normal,Sat Nov  2 17:17:01 2019,0.12,1.81,14.05
31,normal,Sat Nov  2 17:17:02 2019,0.12,1.81,14.03
32,normal,Sat Nov  2 17:17:03 2019,0.1,1.42,14.06
33,normal,Sat Nov  2 17:17:04 2019,0.12,1.81,14.05
34,normal,Sat Nov  2 17:17:05 2019,0.1,1.42,14.05
35,normal,Sat Nov  2 17:17:06 2019,0.12,1.81,14.08
36,normal,Sat Nov  2 17:17:07 2019,0.11,1.55,14.08
37,normal,Sat Nov  2 17:17:08 2019,0.11,1.55,14.05
38,normal,Sat Nov  2 17:17:09 2019,0.12,1.68,14.07
39,normal,Sat Nov  2 17:17:10 2019,0.12,1.81,14.05
40,normal,Sat Nov  2 17:17:11 2019,0.1,1.42,14.05
41,normal,Sat Nov  2 17:17:12 2019,0.12,1.81,14.05
42,normal,Sat Nov  2 17:17:13 2019,0.09,1.29,14.07
43,normal,Sat Nov  2 17:17:14 2019,0.11,1.55,14.05
44,normal,Sat Nov  2 17:17:15 2019,0.1,1.42,14.02
45,normal,Sat Nov  2 17:17:16 2019,0.11,1.55,14.01
46,normal,Sat Nov  2 17:17:17 2019,0.12,1.68,14.06
47,normal,Sat Nov  2 17:17:18 2019,0.09,1.29,14.04
48,normal,Sat Nov  2 17:17:19 2019,0.11,1.55,14.06
49,normal,Sat Nov  2 17:17:20 2019,0.09,1.29,14.05
50,normal,Sat Nov  2 17:17:21 2019,0.12,1.81,14.04
51,normal,Sat Nov  2 17:17:22 2019,0.09,1.29,14.03
52,normal,Sat Nov  2 17:17:23 2019,0.12,1.81,14.05
53,normal,Sat Nov  2 17:17:24 2019,0.12,1.68,14.04
54,normal,Sat Nov  2 17:17:25 2019,0.1,1.42,14.05
55,normal,Sat Nov  2 17:17:26 2019,0.12,1.81,14.05
56,normal,Sat Nov  2 17:17:27 2019,0.09,1.29,14.05
57,normal,Sat Nov  2 17:17:28 2019,0.11,1.55,14.05
58,normal,Sat Nov  2 17:17:29 2019,0.11,1.55,14.05
59,normal,Sat Nov  2 17:17:30 2019,0.11,1.68,14.08
60,normal,Sat Nov  2 17:17:31 2019,0.11,1.55,14.06
61,normal,Sat Nov  2 17:17:32 2019,0.11,1.55,14.05
62,normal,Sat Nov  2 17:17:33 2019,0.12,1.68,14.05
63,normal,Sat Nov  2 17:17:34 2019,0.12,1.81,14.04
64,normal,Sat Nov  2 17:17:35 2019,0.11,1.55,14.04
65,normal,Sat Nov  2 17:17:36 2019,0.12,1.68,14.04
66,normal,Sat Nov  2 17:17:37 2019,0.11,1.55,14.05
67,normal,Sat Nov  2 17:17:38 2019,0.12,1.81,14.05
