,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 17:11:41 2019,0.13,2.92,21.37
1,normal,Wed Nov  6 17:11:42 2019,0.14,2.92,20.76
2,normal,Wed Nov  6 17:11:43 2019,0.13,2.79,20.4
3,normal,Wed Nov  6 17:11:44 2019,0.15,3.32,21.15
4,normal,Wed Nov  6 17:11:45 2019,0.14,2.92,20.69
5,normal,Wed Nov  6 17:11:46 2019,0.15,3.18,21.14
6,normal,Wed Nov  6 17:11:47 2019,0.15,3.18,20.85
7,normal,Wed Nov  6 17:11:48 2019,0.14,2.92,20.31
8,normal,Wed Nov  6 17:11:49 2019,0.13,2.65,19.53
9,normal,Wed Nov  6 17:11:50 2019,0.14,2.79,18.83
10,normal,Wed Nov  6 17:11:51 2019,0.15,2.79,18.09
11,normal,Wed Nov  6 17:11:52 2019,0.14,2.52,17.35
12,normal,Wed Nov  6 17:11:53 2019,0.14,2.39,16.68
13,normal,Wed Nov  6 17:11:54 2019,0.14,2.25,16.03
14,normal,Wed Nov  6 17:11:55 2019,0.14,2.25,15.46
15,normal,Wed Nov  6 17:11:56 2019,0.16,2.39,14.91
16,normal,Wed Nov  6 17:11:57 2019,0.14,2.12,14.41
17,normal,Wed Nov  6 17:11:58 2019,0.14,2.25,15.26
18,normal,Wed Nov  6 17:11:59 2019,0.15,2.52,16.44
19,normal,Wed Nov  6 17:12:00 2019,0.14,2.65,17.83
20,normal,Wed Nov  6 17:12:01 2019,0.14,2.79,19.22
21,normal,Wed Nov  6 17:12:02 2019,0.14,3.05,20.57
22,normal,Wed Nov  6 17:12:03 2019,0.14,3.05,20.89
23,normal,Wed Nov  6 17:12:04 2019,0.14,2.92,20.64
24,normal,Wed Nov  6 17:12:05 2019,0.14,3.05,21.47
25,normal,Wed Nov  6 17:12:06 2019,0.13,3.32,24.14
26,normal,Wed Nov  6 17:12:07 2019,0.12,3.59,29.43
27,normal,Wed Nov  6 17:12:08 2019,0.11,4.38,38.14
28,normal,Wed Nov  6 17:12:09 2019,0.09,5.19,52.78
29,normal,Wed Nov  6 17:12:10 2019,0.1,7.33,70.3
30,normal,Wed Nov  6 17:12:11 2019,0.1,8.0,74.58
31,normal,Wed Nov  6 17:12:12 2019,0.1,8.0,73.38
32,normal,Wed Nov  6 17:12:13 2019,0.11,7.87,70.79
33,normal,Wed Nov  6 17:12:14 2019,0.11,7.6,67.13
34,normal,Wed Nov  6 17:12:16 2019,0.11,7.34,62.37
35,normal,Wed Nov  6 17:12:17 2019,0.11,6.67,57.37
36,normal,Wed Nov  6 17:12:18 2019,0.11,6.27,52.59
37,normal,Wed Nov  6 17:12:19 2019,0.11,6.0,50.6
38,normal,Wed Nov  6 17:12:20 2019,0.11,5.87,49.12
39,normal,Wed Nov  6 17:12:21 2019,0.12,5.87,47.73
40,normal,Wed Nov  6 17:12:22 2019,0.12,5.6,45.87
41,normal,Wed Nov  6 17:12:23 2019,0.12,5.6,45.0
42,normal,Wed Nov  6 17:12:24 2019,0.12,5.34,43.55
43,normal,Wed Nov  6 17:12:25 2019,0.12,5.34,42.55
44,normal,Wed Nov  6 17:12:26 2019,0.12,5.33,41.42
45,normal,Wed Nov  6 17:12:27 2019,0.12,4.93,40.12
46,normal,Wed Nov  6 17:12:28 2019,0.12,4.93,39.13
47,normal,Wed Nov  6 17:12:29 2019,0.12,4.93,38.35
48,normal,Wed Nov  6 17:12:30 2019,0.12,4.8,37.28
49,normal,Wed Nov  6 17:12:31 2019,0.12,4.53,36.3
50,normal,Wed Nov  6 17:12:32 2019,0.12,4.53,35.57
51,normal,Wed Nov  6 17:12:33 2019,0.12,4.4,34.75
52,normal,Wed Nov  6 17:12:34 2019,0.12,4.13,33.89
53,normal,Wed Nov  6 17:12:35 2019,0.12,4.13,33.12
54,normal,Wed Nov  6 17:12:36 2019,0.12,4.13,32.44
55,normal,Wed Nov  6 17:12:37 2019,0.12,4.0,31.78
56,normal,Wed Nov  6 17:12:38 2019,0.12,3.86,31.13
57,normal,Wed Nov  6 17:12:39 2019,0.12,3.86,30.52
58,normal,Wed Nov  6 17:12:40 2019,0.12,3.73,29.9
59,normal,Wed Nov  6 17:12:41 2019,0.12,3.73,29.35
60,normal,Wed Nov  6 17:12:42 2019,0.12,3.6,28.71
61,normal,Wed Nov  6 17:12:43 2019,0.13,3.73,28.19
62,normal,Wed Nov  6 17:12:44 2019,0.13,3.59,27.65
63,normal,Wed Nov  6 17:12:45 2019,0.13,3.6,27.18
64,normal,Wed Nov  6 17:12:46 2019,0.12,3.46,26.69
65,normal,Wed Nov  6 17:12:47 2019,0.12,3.33,26.24
66,normal,Wed Nov  6 17:12:48 2019,0.12,3.33,25.74
67,normal,Wed Nov  6 17:12:49 2019,0.13,3.33,25.35
68,normal,Wed Nov  6 17:12:50 2019,0.12,3.19,24.91
69,normal,Wed Nov  6 17:12:51 2019,0.13,3.19,24.56
70,normal,Wed Nov  6 17:12:52 2019,0.13,3.19,24.16
71,normal,Wed Nov  6 17:12:53 2019,0.12,3.06,23.81
72,normal,Wed Nov  6 17:12:54 2019,0.13,3.06,23.47
73,normal,Wed Nov  6 17:12:55 2019,0.13,3.06,23.18
74,normal,Wed Nov  6 17:12:56 2019,0.13,3.06,22.84
75,normal,Wed Nov  6 17:12:57 2019,0.13,3.06,22.6
76,normal,Wed Nov  6 17:12:58 2019,0.13,3.06,22.28
77,normal,Wed Nov  6 17:12:59 2019,0.13,3.06,22.06
78,normal,Wed Nov  6 17:13:00 2019,0.13,2.93,21.83
79,normal,Wed Nov  6 17:13:01 2019,0.13,2.93,21.52
80,normal,Wed Nov  6 17:13:02 2019,0.13,2.93,21.29
81,normal,Wed Nov  6 17:13:03 2019,0.13,2.93,21.09
82,normal,Wed Nov  6 17:13:04 2019,0.13,2.93,20.97
83,normal,Wed Nov  6 17:13:05 2019,0.14,2.93,20.78
84,normal,Wed Nov  6 17:13:06 2019,0.13,2.79,20.62
85,normal,Wed Nov  6 17:13:07 2019,0.13,2.79,20.54
86,normal,Wed Nov  6 17:13:08 2019,0.13,2.66,20.34
87,normal,Wed Nov  6 17:13:09 2019,0.13,2.79,20.33
88,normal,Wed Nov  6 17:13:10 2019,0.13,2.79,20.23
89,normal,Wed Nov  6 17:13:11 2019,0.13,2.79,20.29
90,normal,Wed Nov  6 17:13:12 2019,0.13,2.79,20.21
91,normal,Wed Nov  6 17:13:13 2019,0.13,2.79,20.16
92,normal,Wed Nov  6 17:13:14 2019,0.13,2.79,20.22
93,normal,Wed Nov  6 17:13:15 2019,0.13,2.79,20.08
94,normal,Wed Nov  6 17:13:16 2019,0.13,2.79,19.99
95,normal,Wed Nov  6 17:13:17 2019,0.13,2.79,20.11
96,normal,Wed Nov  6 17:13:18 2019,0.13,2.79,20.01
97,normal,Wed Nov  6 17:13:19 2019,0.14,2.79,19.95
98,normal,Wed Nov  6 17:13:20 2019,0.13,2.79,20.02
99,normal,Wed Nov  6 17:13:21 2019,0.13,2.79,19.99
100,normal,Wed Nov  6 17:13:22 2019,0.13,2.66,19.99
101,normal,Wed Nov  6 17:13:23 2019,0.13,2.79,20.03
102,normal,Wed Nov  6 17:13:24 2019,0.13,2.66,19.99
103,normal,Wed Nov  6 17:13:25 2019,0.14,2.79,19.97
104,normal,Wed Nov  6 17:13:26 2019,0.13,2.66,20.01
105,normal,Wed Nov  6 17:13:27 2019,0.13,2.66,19.98
106,normal,Wed Nov  6 17:13:28 2019,0.13,2.66,19.97
107,normal,Wed Nov  6 17:13:29 2019,0.13,2.66,20.01
108,normal,Wed Nov  6 17:13:30 2019,0.13,2.79,20.1
109,normal,Wed Nov  6 17:13:31 2019,0.13,2.66,20.03
110,normal,Wed Nov  6 17:13:32 2019,0.13,2.66,19.99
111,normal,Wed Nov  6 17:13:33 2019,0.13,2.66,20.0
112,normal,Wed Nov  6 17:13:34 2019,0.13,2.66,20.02
113,normal,Wed Nov  6 17:13:35 2019,0.13,2.79,20.09
114,normal,Wed Nov  6 17:13:36 2019,0.13,2.79,20.06
115,normal,Wed Nov  6 17:13:37 2019,0.13,2.79,20.16
116,normal,Wed Nov  6 17:13:38 2019,0.13,2.79,20.1
117,normal,Wed Nov  6 17:13:39 2019,0.13,2.79,20.2
118,normal,Wed Nov  6 17:13:40 2019,0.13,2.79,20.19
119,normal,Wed Nov  6 17:13:41 2019,0.13,2.66,20.19
120,open,Wed Nov  6 17:13:42 2019,0.0,0.0,2.03
121,open,Wed Nov  6 17:13:43 2019,0.0,0.0,2.01
122,open,Wed Nov  6 17:13:44 2019,0.0,0.0,2.01
123,open,Wed Nov  6 17:13:45 2019,0.0,0.0,1.93
124,open,Wed Nov  6 17:13:46 2019,0.0,0.0,1.96
125,open,Wed Nov  6 17:13:47 2019,0.0,0.0,1.97
126,open,Wed Nov  6 17:13:48 2019,0.0,0.0,1.93
127,open,Wed Nov  6 17:13:49 2019,0.0,0.0,1.94
128,open,Wed Nov  6 17:13:50 2019,0.0,0.0,1.99
129,open,Wed Nov  6 17:13:51 2019,0.0,0.0,1.91
130,open,Wed Nov  6 17:13:52 2019,0.0,0.0,1.95
131,open,Wed Nov  6 17:13:53 2019,0.0,0.0,1.99
132,open,Wed Nov  6 17:13:54 2019,0.0,0.0,1.9
133,open,Wed Nov  6 17:13:56 2019,0.0,0.0,2.01
134,open,Wed Nov  6 17:13:57 2019,0.0,0.0,1.94
135,open,Wed Nov  6 17:13:58 2019,0.0,0.0,1.93
136,open,Wed Nov  6 17:13:59 2019,0.0,0.0,1.99
137,open,Wed Nov  6 17:14:00 2019,0.0,0.0,1.99
138,open,Wed Nov  6 17:14:01 2019,0.0,0.0,1.99
139,open,Wed Nov  6 17:14:02 2019,0.0,0.0,1.97
140,open,Wed Nov  6 17:14:03 2019,0.0,0.0,1.9
141,open,Wed Nov  6 17:14:04 2019,0.0,0.0,2.0
142,open,Wed Nov  6 17:14:05 2019,0.0,0.0,1.97
143,open,Wed Nov  6 17:14:06 2019,0.0,0.0,1.93
144,open,Wed Nov  6 17:14:07 2019,0.0,0.0,1.89
145,open,Wed Nov  6 17:14:08 2019,0.0,0.0,1.89
146,open,Wed Nov  6 17:14:09 2019,0.0,0.0,1.98
147,open,Wed Nov  6 17:14:10 2019,0.0,0.0,1.96
148,open,Wed Nov  6 17:14:11 2019,0.0,0.0,1.95
149,open,Wed Nov  6 17:14:12 2019,0.0,0.0,1.95
150,open,Wed Nov  6 17:14:13 2019,0.0,0.0,1.9
151,open,Wed Nov  6 17:14:14 2019,0.0,0.0,1.9
152,open,Wed Nov  6 17:14:15 2019,0.0,0.0,1.88
153,open,Wed Nov  6 17:14:16 2019,0.0,0.0,1.89
154,open,Wed Nov  6 17:14:17 2019,0.0,0.0,1.88
155,open,Wed Nov  6 17:14:18 2019,0.0,0.0,1.95
156,open,Wed Nov  6 17:14:19 2019,0.0,0.0,1.95
157,open,Wed Nov  6 17:14:20 2019,0.0,0.0,1.97
158,open,Wed Nov  6 17:14:21 2019,0.0,0.0,1.94
159,open,Wed Nov  6 17:14:22 2019,0.0,0.0,1.99
160,open,Wed Nov  6 17:14:23 2019,0.0,0.0,1.99
161,open,Wed Nov  6 17:14:24 2019,0.0,0.0,1.94
162,open,Wed Nov  6 17:14:25 2019,0.0,0.0,1.91
163,open,Wed Nov  6 17:14:26 2019,0.0,0.0,1.91
164,open,Wed Nov  6 17:14:27 2019,0.0,0.0,1.99
165,open,Wed Nov  6 17:14:28 2019,0.0,0.0,1.97
166,open,Wed Nov  6 17:14:29 2019,0.0,0.0,1.95
167,open,Wed Nov  6 17:14:30 2019,0.0,0.0,1.92
168,open,Wed Nov  6 17:14:31 2019,0.0,0.0,1.99
169,open,Wed Nov  6 17:14:32 2019,0.0,0.0,1.97
170,open,Wed Nov  6 17:14:33 2019,0.0,0.0,1.93
171,open,Wed Nov  6 17:14:34 2019,0.0,0.0,1.92
172,open,Wed Nov  6 17:14:35 2019,0.0,0.0,1.89
173,open,Wed Nov  6 17:14:36 2019,0.0,0.0,1.93
174,open,Wed Nov  6 17:14:37 2019,0.0,0.0,1.89
175,open,Wed Nov  6 17:14:38 2019,0.0,0.0,1.88
176,open,Wed Nov  6 17:14:39 2019,0.0,0.0,1.96
177,open,Wed Nov  6 17:14:40 2019,0.0,0.0,1.93
178,open,Wed Nov  6 17:14:41 2019,0.0,0.0,2.0
179,open,Wed Nov  6 17:14:42 2019,0.0,0.0,1.96
180,normal,Wed Nov  6 17:14:43 2019,0.01,1.46,102.5
181,normal,Wed Nov  6 17:14:44 2019,0.03,3.58,101.5
182,normal,Wed Nov  6 17:14:45 2019,0.06,6.51,98.55
183,normal,Wed Nov  6 17:14:46 2019,0.09,8.51,92.88
184,normal,Wed Nov  6 17:14:47 2019,0.1,7.98,74.47
185,normal,Wed Nov  6 17:14:48 2019,0.1,5.45,49.72
186,normal,Wed Nov  6 17:14:49 2019,0.1,4.51,41.79
187,normal,Wed Nov  6 17:14:50 2019,0.11,3.98,35.99
188,normal,Wed Nov  6 17:14:51 2019,0.1,3.45,31.49
189,normal,Wed Nov  6 17:14:52 2019,0.11,3.32,28.06
190,normal,Wed Nov  6 17:14:53 2019,0.11,2.92,25.21
191,normal,Wed Nov  6 17:14:54 2019,0.12,2.78,22.9
192,normal,Wed Nov  6 17:14:55 2019,0.11,2.52,21.05
193,normal,Wed Nov  6 17:14:56 2019,0.12,2.52,19.95
194,normal,Wed Nov  6 17:14:57 2019,0.13,2.52,19.31
195,normal,Wed Nov  6 17:14:58 2019,0.12,2.39,19.15
196,normal,Wed Nov  6 17:14:59 2019,0.13,2.52,19.28
197,normal,Wed Nov  6 17:15:00 2019,0.12,2.39,19.23
198,normal,Wed Nov  6 17:15:01 2019,0.13,2.52,19.39
199,normal,Wed Nov  6 17:15:02 2019,0.12,2.39,19.41
200,normal,Wed Nov  6 17:15:03 2019,0.13,2.52,19.26
201,normal,Wed Nov  6 17:15:04 2019,0.12,2.39,18.78
202,normal,Wed Nov  6 17:15:05 2019,0.13,2.39,18.13
203,normal,Wed Nov  6 17:15:06 2019,0.12,2.12,17.51
204,normal,Wed Nov  6 17:15:07 2019,0.13,2.25,16.82
205,normal,Wed Nov  6 17:15:08 2019,0.13,2.12,16.19
206,normal,Wed Nov  6 17:15:09 2019,0.13,2.12,15.59
207,normal,Wed Nov  6 17:15:10 2019,0.13,1.99,15.03
208,normal,Wed Nov  6 17:15:11 2019,0.12,1.85,14.52
209,normal,Wed Nov  6 17:15:12 2019,0.12,1.85,14.93
210,normal,Wed Nov  6 17:15:13 2019,0.13,2.12,16.08
211,normal,Wed Nov  6 17:15:14 2019,0.12,2.12,17.33
212,normal,Wed Nov  6 17:15:15 2019,0.12,2.38,18.61
213,normal,Wed Nov  6 17:15:16 2019,0.12,2.39,19.36
214,normal,Wed Nov  6 17:15:17 2019,0.13,2.52,19.18
215,normal,Wed Nov  6 17:15:18 2019,0.13,2.52,19.08
216,normal,Wed Nov  6 17:15:19 2019,0.12,2.39,19.62
217,normal,Wed Nov  6 17:15:20 2019,0.11,2.52,22.32
218,normal,Wed Nov  6 17:15:21 2019,0.1,2.92,27.39
219,normal,Wed Nov  6 17:15:22 2019,0.09,3.45,34.65
220,normal,Wed Nov  6 17:15:23 2019,0.08,3.98,46.5
221,normal,Wed Nov  6 17:15:24 2019,0.06,4.65,67.73
222,normal,Wed Nov  6 17:15:25 2019,0.09,6.12,67.63
223,normal,Wed Nov  6 17:15:26 2019,0.08,5.71,64.94
224,normal,Wed Nov  6 17:15:27 2019,0.09,5.72,62.56
225,normal,Wed Nov  6 17:15:28 2019,0.09,5.46,60.16
226,normal,Wed Nov  6 17:15:29 2019,0.09,5.32,58.07
227,normal,Wed Nov  6 17:15:30 2019,0.09,5.32,56.26
228,normal,Wed Nov  6 17:15:31 2019,0.09,5.46,54.74
229,normal,Wed Nov  6 17:15:32 2019,0.1,5.72,53.68
230,normal,Wed Nov  6 17:15:33 2019,0.09,4.92,51.23
231,normal,Wed Nov  6 17:15:34 2019,0.09,4.92,49.73
232,normal,Wed Nov  6 17:15:35 2019,0.09,4.79,48.16
233,normal,Wed Nov  6 17:15:36 2019,0.09,4.52,46.78
234,normal,Wed Nov  6 17:15:37 2019,0.09,4.52,45.44
235,normal,Wed Nov  6 17:15:38 2019,0.09,4.26,44.22
236,normal,Wed Nov  6 17:15:39 2019,0.09,4.26,43.04
237,normal,Wed Nov  6 17:15:40 2019,0.09,4.13,41.9
238,normal,Wed Nov  6 17:15:41 2019,0.09,3.99,40.84
239,normal,Wed Nov  6 17:15:42 2019,0.1,3.99,39.77
240,contact,Wed Nov  6 17:15:43 2019,0.09,3.72,38.74
241,contact,Wed Nov  6 17:15:44 2019,0.1,3.86,37.78
242,contact,Wed Nov  6 17:15:45 2019,0.1,3.72,36.87
243,contact,Wed Nov  6 17:15:47 2019,0.09,3.59,36.0
244,contact,Wed Nov  6 17:15:48 2019,0.1,3.59,35.18
245,contact,Wed Nov  6 17:15:49 2019,0.1,3.59,34.41
246,contact,Wed Nov  6 17:15:50 2019,0.1,3.46,33.67
247,contact,Wed Nov  6 17:15:51 2019,0.1,3.32,32.93
248,contact,Wed Nov  6 17:15:52 2019,0.1,3.32,32.23
249,contact,Wed Nov  6 17:15:53 2019,0.1,3.32,31.55
250,contact,Wed Nov  6 17:15:54 2019,0.1,3.19,30.91
251,contact,Wed Nov  6 17:15:55 2019,0.1,3.19,30.34
252,contact,Wed Nov  6 17:15:56 2019,0.1,3.19,29.73
