Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Tue Nov 26 12:46:22 2019,normal,1.12,15.04,13.43,,dust,1.14,15.82,13.77
Tue Nov 26 12:46:23 2019,normal,1.19,16.05,13.42,,dust,1.14,15.82,13.77
Tue Nov 26 12:46:24 2019,normal,1.12,15.18,13.45,,dust,0.2,2.84,14.08
Tue Nov 26 12:46:25 2019,normal,1.16,15.68,13.45,,dust,1.07,15.43,14.31
Tue Nov 26 12:46:26 2019,normal,1.2,16.19,13.44,,dust,1.14,15.69,13.74
Tue Nov 26 12:46:27 2019,normal,1.2,16.19,13.47,,dust,1.14,15.82,13.78
Tue Nov 26 12:46:28 2019,normal,1.21,16.31,13.45,,dust,1.13,15.69,13.77
Tue Nov 26 12:46:29 2019,normal,1.11,15.05,13.47,,dust,1.14,15.69,13.76
Tue Nov 26 12:46:30 2019,normal,1.12,15.19,13.46,,dust,1.14,15.83,13.8
Tue Nov 26 12:46:31 2019,normal,1.15,15.55,13.46,,dust,1.13,15.56,13.77
Tue Nov 26 12:46:32 2019,normal,1.22,16.44,13.47,,dust,1.13,15.57,13.78
Tue Nov 26 12:46:33 2019,normal,1.18,15.93,13.47,,dust,1.07,15.43,14.36
Tue Nov 26 12:46:34 2019,normal,1.12,15.18,13.46,,dust,1.13,15.56,13.71
Tue Nov 26 12:46:35 2019,normal,1.15,15.55,13.44,,dust,1.13,15.7,13.78
Tue Nov 26 12:46:36 2019,normal,1.19,16.06,13.45,,dust,1.13,15.7,13.78
Tue Nov 26 12:46:37 2019,normal,1.14,15.44,13.44,,dust,1.14,15.7,13.77
Tue Nov 26 12:46:38 2019,normal,1.18,15.95,13.47,,dust,1.13,15.7,13.78
Tue Nov 26 12:46:39 2019,normal,1.14,15.44,13.47,,dust,1.12,15.57,13.79
Tue Nov 26 12:46:40 2019,normal,1.15,15.57,13.48,,dust,1.13,15.56,13.77
Tue Nov 26 12:46:41 2019,normal,1.17,15.81,13.45,,dust,1.13,15.57,13.78
