Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 12:37:41 2019,normal,2.34,207.64,88.19,,normal,2.29,195.56,85.29
Thu Nov 21 12:37:42 2019,normal,2.34,207.38,88.17,,normal,2.29,195.56,85.29
Thu Nov 21 12:37:43 2019,normal,2.32,206.84,88.48,,normal,2.28,195.29,85.35
Thu Nov 21 12:37:44 2019,normal,2.32,206.3,88.49,,normal,2.29,195.57,85.35
Thu Nov 21 12:37:45 2019,normal,2.34,207.12,88.5,,normal,2.29,195.84,85.32
Thu Nov 21 12:37:46 2019,normal,2.32,206.84,88.48,,normal,2.29,195.7,85.3
Thu Nov 21 12:37:47 2019,normal,2.32,206.84,88.49,,normal,2.27,195.7,85.87
Thu Nov 21 12:37:48 2019,normal,2.34,207.64,88.49,,normal,2.27,195.29,85.88
Thu Nov 21 12:37:49 2019,normal,2.32,206.7,88.44,,normal,2.28,195.71,85.57
Thu Nov 21 12:37:50 2019,normal,2.34,207.64,88.51,,normal,2.28,195.56,85.41
Thu Nov 21 12:37:51 2019,normal,2.34,207.38,88.47,,normal,2.29,195.98,85.35
Thu Nov 21 12:37:52 2019,normal,2.34,207.38,88.49,,normal,2.29,195.84,85.36
Thu Nov 21 12:37:53 2019,normal,2.34,207.64,88.5,,normal,2.28,195.98,85.62
Thu Nov 21 12:37:54 2019,normal,2.34,207.38,88.52,,normal,2.29,195.98,85.32
Thu Nov 21 12:37:55 2019,normal,2.34,207.38,88.53,,normal,2.29,195.98,85.38
Thu Nov 21 12:37:56 2019,normal,2.34,207.38,88.5,,normal,2.29,196.12,85.4
Thu Nov 21 12:37:57 2019,normal,2.34,207.64,88.5,,normal,2.26,194.21,85.57
Thu Nov 21 12:37:58 2019,normal,2.34,207.64,88.52,,normal,2.27,195.84,85.9
Thu Nov 21 12:37:59 2019,normal,2.32,207.12,88.52,,normal,2.28,195.84,85.58
Thu Nov 21 12:38:00 2019,normal,2.34,207.92,88.5,,normal,2.29,196.26,85.6
Thu Nov 21 12:38:01 2019,normal,2.32,206.84,88.52,,normal,2.3,196.25,85.05
Thu Nov 21 12:38:02 2019,normal,2.34,207.38,88.5,,normal,2.3,195.98,85.05
Thu Nov 21 12:38:03 2019,normal,2.34,207.64,88.54,,normal,2.29,195.84,85.34
Thu Nov 21 12:38:04 2019,normal,2.34,207.64,88.5,,normal,2.29,196.12,85.35
Thu Nov 21 12:38:05 2019,normal,2.42,213.16,87.97,,normal,2.29,195.98,85.36
Thu Nov 21 12:38:06 2019,normal,2.32,207.38,88.84,,normal,2.29,195.98,85.34
Thu Nov 21 12:38:07 2019,normal,2.32,206.84,88.82,,normal,2.29,195.84,85.34
Thu Nov 21 12:38:08 2019,normal,2.32,207.38,88.83,,normal,2.29,195.43,85.32
Thu Nov 21 12:38:09 2019,normal,2.32,207.64,88.84,,normal,2.3,196.52,85.35
Thu Nov 21 12:38:10 2019,normal,2.32,207.38,88.85,,normal,2.29,195.99,85.38
Thu Nov 21 12:38:11 2019,normal,2.32,207.12,88.81,,normal,2.29,195.85,85.36
Thu Nov 21 12:38:12 2019,normal,2.32,207.38,88.82,,normal,2.29,195.71,85.32
Thu Nov 21 12:38:13 2019,normal,2.32,207.12,88.84,,normal,2.29,195.71,85.35
Thu Nov 21 12:38:14 2019,normal,2.32,207.38,88.82,,normal,2.29,195.71,85.33
Thu Nov 21 12:38:15 2019,normal,2.32,207.38,88.84,,normal,2.29,196.12,85.36
Thu Nov 21 12:38:16 2019,normal,2.32,206.58,88.84,,normal,2.29,195.85,85.35
Thu Nov 21 12:38:17 2019,normal,2.38,212.46,88.91,,normal,2.29,195.71,85.39
Thu Nov 21 12:38:18 2019,normal,2.32,207.12,88.82,,normal,2.3,196.54,85.35
Thu Nov 21 12:38:19 2019,normal,2.32,207.64,88.82,,normal,2.3,196.4,85.36
Thu Nov 21 12:38:20 2019,normal,2.32,207.38,88.8,,normal,2.29,195.86,85.39
Thu Nov 21 12:38:21 2019,normal,2.34,207.92,88.84,,normal,2.29,195.85,85.34
Thu Nov 21 12:38:22 2019,normal,2.32,207.64,88.86,,normal,2.29,196.12,85.36
Thu Nov 21 12:38:23 2019,normal,2.32,207.38,88.82,,normal,2.29,195.85,85.38
Thu Nov 21 12:38:24 2019,normal,2.32,207.64,88.84,,normal,2.29,195.59,85.34
Thu Nov 21 12:38:25 2019,normal,2.32,207.64,88.82,,normal,2.29,195.99,85.34
Thu Nov 21 12:38:26 2019,normal,2.32,207.12,88.83,,normal,2.29,196.13,85.32
Thu Nov 21 12:38:27 2019,normal,2.32,207.12,88.82,,normal,2.29,195.58,85.33
Thu Nov 21 12:38:28 2019,normal,2.32,207.38,88.82,,normal,2.28,195.31,85.35
Thu Nov 21 12:38:29 2019,normal,2.32,207.38,88.86,,normal,2.29,195.99,85.4
Thu Nov 21 12:38:30 2019,normal,2.32,206.3,88.81,,normal,2.29,195.85,85.33
Thu Nov 21 12:38:31 2019,normal,2.32,207.12,88.84,,normal,2.29,195.71,85.31
Thu Nov 21 12:38:32 2019,normal,2.32,207.12,88.82,,normal,2.3,196.53,85.33
Thu Nov 21 12:38:33 2019,normal,2.32,207.38,88.82,,normal,2.28,196.26,85.92
Thu Nov 21 12:38:34 2019,normal,2.32,207.12,88.83,,normal,2.3,196.12,85.03
Thu Nov 21 12:38:35 2019,normal,2.32,206.3,88.83,,normal,2.3,195.99,85.05
Thu Nov 21 12:38:36 2019,normal,2.32,207.12,88.83,,normal,2.29,195.45,85.03
Thu Nov 21 12:38:37 2019,normal,2.32,206.84,88.83,,normal,2.3,196.12,85.05
Thu Nov 21 12:38:38 2019,normal,2.32,207.12,88.83,,normal,2.29,195.59,85.13
Thu Nov 21 12:38:39 2019,normal,2.32,206.84,88.82,,normal,2.29,195.59,85.11
Thu Nov 21 12:38:40 2019,normal,2.32,206.58,88.82,,normal,2.29,195.89,85.24
Thu Nov 21 12:38:41 2019,normal,2.32,206.7,88.84,,normal,2.3,196.28,85.23
Thu Nov 21 12:38:42 2019,normal,2.32,206.3,88.82,,normal,2.3,196.15,85.23
Thu Nov 21 12:38:43 2019,normal,2.32,206.84,88.83,,normal,2.3,196.28,85.21
Thu Nov 21 12:38:44 2019,normal,2.32,207.12,88.84,,normal,2.3,196.29,85.26
Thu Nov 21 12:38:45 2019,normal,2.32,206.58,88.82,,normal,2.3,196.43,85.23
Thu Nov 21 12:38:46 2019,normal,2.32,206.46,88.84,,normal,2.3,196.56,85.2
Thu Nov 21 12:38:47 2019,normal,2.32,206.84,88.82,,normal,2.3,196.28,85.18
Thu Nov 21 12:38:48 2019,normal,2.32,206.96,88.84,,normal,2.3,196.28,85.21
Thu Nov 21 12:38:49 2019,normal,2.32,206.84,88.5,,normal,2.29,196.02,85.23
Thu Nov 21 12:38:50 2019,normal,2.32,206.96,88.48,,normal,2.29,195.88,85.22
Thu Nov 21 12:38:51 2019,normal,2.36,206.42,87.25,,normal,2.29,195.61,85.2
Thu Nov 21 12:38:52 2019,normal,2.36,207,87.26,,normal,2.3,196.84,85.23
Thu Nov 21 12:38:53 2019,normal,2.4,212.24,87.97,,normal,2.3,196.15,85.22
Thu Nov 21 12:38:54 2019,normal,2.36,205.36,86.32,,normal,2.29,195.88,85.21
Thu Nov 21 12:38:55 2019,normal,2.38,205.78,86.33,,normal,2.3,196.43,85.22
Thu Nov 21 12:38:56 2019,normal,2.34,206.04,87.87,,normal,2.3,196.28,85.2
Thu Nov 21 12:38:57 2019,normal,2.34,206.04,87.86,,normal,2.3,196.02,85.2
Thu Nov 21 12:38:58 2019,normal,2.34,206.3,87.89,,normal,2.29,195.47,85.28
Thu Nov 21 12:38:59 2019,normal,2.34,206.3,87.86,,normal,2.3,196.02,85.22
Thu Nov 21 12:39:00 2019,normal,2.34,206.3,87.86,,normal,2.3,196.43,85.22
Thu Nov 21 12:39:01 2019,normal,2.34,206.58,87.88,,normal,2.3,196.15,85.19
Thu Nov 21 12:39:02 2019,normal,2.34,206.3,87.89,,normal,2.3,196.29,85.2
Thu Nov 21 12:39:03 2019,normal,2.34,206.58,87.87,,normal,2.29,195.33,85.2
Thu Nov 21 12:39:04 2019,normal,2.34,205.78,87.85,,normal,2.29,195.74,85.2
Thu Nov 21 12:39:05 2019,normal,2.34,206.3,87.85,,normal,2.34,198.35,84.72
Thu Nov 21 12:39:06 2019,normal,2.34,206.04,87.88,,normal,2.29,195.74,85.23
Thu Nov 21 12:39:07 2019,normal,2.34,205.78,87.84,,normal,2.3,196.57,85.22
Thu Nov 21 12:39:08 2019,normal,2.34,206.04,87.85,,normal,2.3,196.56,85.22
Thu Nov 21 12:39:09 2019,normal,2.34,206.04,87.87,,normal,2.3,196.29,85.2
Thu Nov 21 12:39:10 2019,normal,2.34,206.04,87.87,,normal,2.3,196.15,85.2
Thu Nov 21 12:39:12 2019,normal,2.34,206.04,87.87,,normal,2.29,195.88,85.2
Thu Nov 21 12:39:13 2019,normal,2.34,206.04,87.85,,normal,2.29,195.74,85.21
Thu Nov 21 12:39:14 2019,normal,2.34,206.04,87.86,,normal,2.3,196.43,85.21
Thu Nov 21 12:39:15 2019,normal,2.34,206.04,87.87,,normal,2.29,195.88,85.24
Thu Nov 21 12:39:16 2019,normal,2.32,205.5,87.87,,normal,2.29,195.88,85.2
Thu Nov 21 12:39:17 2019,normal,2.32,205.4,87.85,,normal,2.3,196.15,85.23
Thu Nov 21 12:39:18 2019,normal,2.26,200.16,88.09,,normal,2.29,195.74,85.21
Thu Nov 21 12:39:19 2019,normal,2.32,205.08,87.82,,normal,2.3,196.29,85.2
Thu Nov 21 12:39:20 2019,normal,2.3,205.78,89.14,,normal,2.3,196.15,85.23
Thu Nov 21 12:39:21 2019,normal,2.3,205.92,89.12,,normal,2.3,196.15,85.22
Thu Nov 21 12:39:22 2019,normal,2.28,205.5,89.77,,normal,2.3,196.02,85.22
Thu Nov 21 12:39:23 2019,normal,2.32,205.78,88.49,,normal,2.3,196.29,85.19
Thu Nov 21 12:39:24 2019,normal,2.32,205.78,88.49,,normal,2.3,196.02,85.2
Thu Nov 21 12:39:25 2019,normal,2.3,205.24,88.82,,normal,2.3,196.43,85.2
Thu Nov 21 12:39:26 2019,normal,2.3,205.24,89.13,,normal,2.3,196.29,85.14
Thu Nov 21 12:39:27 2019,normal,2.3,205.24,88.81,,normal,2.3,196.16,85.23
Thu Nov 21 12:39:28 2019,normal,2.28,204.7,89.12,,normal,2.29,196.02,85.25
Thu Nov 21 12:39:29 2019,normal,2.3,205.24,89.13,,normal,2.3,196.02,85.21
Thu Nov 21 12:39:30 2019,normal,2.3,204.98,89.11,,normal,2.3,196.15,85.22
Thu Nov 21 12:39:31 2019,normal,2.28,204.7,89.09,,normal,2.29,196.02,85.24
Thu Nov 21 12:39:32 2019,normal,2.28,204.82,89.08,,normal,2.3,196.02,85.18
Thu Nov 21 12:39:33 2019,normal,2.28,204.7,89.12,,normal,2.3,196.29,85.21
Thu Nov 21 12:39:34 2019,normal,2.28,204.7,89.09,,normal,2.3,196.57,85.21
