Date/Time,leaf_number,leaf_position,current,power,voltage,,condition,current,power,voltage
Sat Nov 23 12:21:57 2019,zero,nan,1.08,14.39,13.22,,normal,1.11,15.27,13.66
Sat Nov 23 12:21:58 2019,zero,nan,1.1,14.51,13.19,,normal,1.11,15.27,13.67
Sat Nov 23 12:21:59 2019,zero,nan,1.09,14.51,13.22,,normal,1.12,15.27,13.63
Sat Nov 23 12:22:00 2019,zero,nan,1.09,14.51,13.23,,normal,1.11,15.27,13.65
Sat Nov 23 12:22:01 2019,zero,nan,1.11,14.76,13.21,,normal,1.11,15.27,13.65
Sat Nov 23 12:22:02 2019,zero,nan,1.1,14.64,13.22,,normal,1.12,15.4,13.65
Sat Nov 23 12:22:03 2019,zero,nan,1.1,14.64,13.22,,normal,1.12,15.42,13.67
Sat Nov 23 12:22:04 2019,zero,nan,1.11,14.76,13.22,,normal,1.12,15.42,13.65
Sat Nov 23 12:22:05 2019,zero,nan,1.12,14.89,13.22,,normal,1.12,15.42,13.66
Sat Nov 23 12:22:06 2019,zero,nan,1.12,14.89,13.2,,normal,1.12,15.29,13.65
Sat Nov 23 12:22:07 2019,zero,nan,1.11,14.76,13.22,,normal,1.13,15.54,13.67
Sat Nov 23 12:22:08 2019,zero,nan,1.12,14.9,13.24,,normal,1.13,15.53,13.64
Sat Nov 23 12:22:09 2019,zero,nan,1.13,15.01,13.22,,normal,1.13,15.42,13.64
Sat Nov 23 12:22:10 2019,zero,nan,1.13,15.02,13.23,,normal,1.12,15.4,13.64
Sat Nov 23 12:22:11 2019,zero,nan,1.13,15.02,13.22,,normal,1.12,15.42,13.65
Sat Nov 23 12:22:12 2019,zero,nan,1.14,15.14,13.21,,normal,1.13,15.54,13.64
Sat Nov 23 12:22:13 2019,zero,nan,1.14,15.15,13.23,,normal,1.12,15.29,13.65
Sat Nov 23 12:22:14 2019,zero,nan,1.15,15.27,13.21,,normal,1.14,15.67,13.67
Sat Nov 23 12:22:15 2019,zero,nan,1.15,15.27,13.23,,normal,1.15,15.79,13.67
Sat Nov 23 12:22:16 2019,zero,nan,1.16,15.4,13.23,,normal,1.13,15.54,13.66
Sat Nov 23 12:22:17 2019,zero,nan,1.16,15.4,13.23,,normal,1.15,15.8,13.64
Sat Nov 23 12:22:18 2019,zero,nan,1.16,15.4,13.22,,normal,1.17,16.06,13.65
Sat Nov 23 12:22:19 2019,zero,nan,1.16,15.4,13.24,,normal,1.16,15.93,13.64
Sat Nov 23 12:22:20 2019,zero,nan,1.16,15.4,13.22,,normal,1.16,15.93,13.67
Sat Nov 23 12:22:21 2019,zero,nan,1.16,15.4,13.2,,normal,1.16,15.93,13.67
Sat Nov 23 12:22:22 2019,zero,nan,1.15,15.27,13.21,,normal,1.16,15.93,13.65
