,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 18:57:09 2019,0.08,9.55,107.86
1,normal,Wed Nov  6 18:57:10 2019,0.08,9.7,107.87
2,normal,Wed Nov  6 18:57:11 2019,0.08,9.41,107.88
3,normal,Wed Nov  6 18:57:12 2019,0.08,9.41,107.88
4,normal,Wed Nov  6 18:57:13 2019,0.08,9.55,107.86
5,normal,Wed Nov  6 18:57:14 2019,0.09,9.84,107.87
6,normal,Wed Nov  6 18:57:15 2019,0.08,9.55,107.87
7,normal,Wed Nov  6 18:57:17 2019,0.08,9.55,107.86
8,normal,Wed Nov  6 18:57:18 2019,0.08,9.41,107.83
9,normal,Wed Nov  6 18:57:19 2019,0.08,9.7,107.86
10,normal,Wed Nov  6 18:57:20 2019,0.08,9.7,107.83
11,normal,Wed Nov  6 18:57:21 2019,0.08,9.56,107.85
12,normal,Wed Nov  6 18:57:22 2019,0.08,9.55,107.83
13,normal,Wed Nov  6 18:57:23 2019,0.08,9.7,107.83
14,normal,Wed Nov  6 18:57:24 2019,0.08,9.55,107.82
15,normal,Wed Nov  6 18:57:25 2019,0.08,9.56,107.83
16,normal,Wed Nov  6 18:57:26 2019,0.08,9.41,107.85
17,normal,Wed Nov  6 18:57:27 2019,0.08,9.55,107.83
18,normal,Wed Nov  6 18:57:28 2019,0.08,9.55,107.85
19,normal,Wed Nov  6 18:57:29 2019,0.08,9.55,107.85
20,normal,Wed Nov  6 18:57:30 2019,0.08,9.57,107.87
21,normal,Wed Nov  6 18:57:31 2019,0.08,9.55,107.86
22,normal,Wed Nov  6 18:57:32 2019,0.08,9.56,107.84
23,normal,Wed Nov  6 18:57:33 2019,0.09,9.7,107.85
24,normal,Wed Nov  6 18:57:34 2019,0.08,9.55,107.84
25,normal,Wed Nov  6 18:57:35 2019,0.08,9.55,107.85
26,normal,Wed Nov  6 18:57:36 2019,0.08,9.56,107.82
27,normal,Wed Nov  6 18:57:37 2019,0.08,9.55,107.84
28,normal,Wed Nov  6 18:57:38 2019,0.08,9.56,107.82
29,normal,Wed Nov  6 18:57:39 2019,0.08,9.56,107.8
30,normal,Wed Nov  6 18:57:40 2019,0.08,9.41,107.8
31,normal,Wed Nov  6 18:57:41 2019,0.08,9.7,107.83
32,normal,Wed Nov  6 18:57:42 2019,0.08,9.55,107.79
33,normal,Wed Nov  6 18:57:43 2019,0.08,9.55,107.8
34,normal,Wed Nov  6 18:57:44 2019,0.08,9.55,107.79
35,normal,Wed Nov  6 18:57:45 2019,0.08,9.41,107.8
