,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 20:14:18 2019,0.42,6.17,14.64
1,normal,Wed Nov  6 20:14:19 2019,0.41,6.04,14.64
2,normal,Wed Nov  6 20:14:20 2019,0.42,6.17,14.64
3,normal,Wed Nov  6 20:14:21 2019,0.38,5.64,14.66
4,normal,Wed Nov  6 20:14:22 2019,0.38,5.64,14.65
5,normal,Wed Nov  6 20:14:23 2019,0.37,5.5,14.67
6,normal,Wed Nov  6 20:14:24 2019,0.39,5.77,14.66
7,normal,Wed Nov  6 20:14:25 2019,0.43,6.31,14.66
8,normal,Wed Nov  6 20:14:26 2019,0.41,6.04,14.65
9,normal,Wed Nov  6 20:14:27 2019,0.42,6.17,14.66
10,normal,Wed Nov  6 20:14:28 2019,0.38,5.64,14.64
11,normal,Wed Nov  6 20:14:29 2019,0.43,6.31,14.66
12,normal,Wed Nov  6 20:14:30 2019,0.43,6.44,14.66
13,normal,Wed Nov  6 20:14:31 2019,0.4,5.91,14.68
14,normal,Wed Nov  6 20:14:32 2019,0.4,5.9,14.67
15,normal,Wed Nov  6 20:14:33 2019,0.39,5.77,14.66
16,normal,Wed Nov  6 20:14:34 2019,0.42,6.18,14.67
17,normal,Wed Nov  6 20:14:35 2019,0.38,5.64,14.66
18,normal,Wed Nov  6 20:14:36 2019,0.39,5.77,14.67
19,normal,Wed Nov  6 20:14:37 2019,0.39,5.77,14.67
20,normal,Wed Nov  6 20:14:38 2019,0.4,5.91,14.66
21,normal,Wed Nov  6 20:14:39 2019,0.41,6.04,14.68
22,normal,Wed Nov  6 20:14:40 2019,0.39,5.77,14.67
23,normal,Wed Nov  6 20:14:41 2019,0.39,5.77,14.66
24,normal,Wed Nov  6 20:14:42 2019,0.4,5.91,14.66
25,normal,Wed Nov  6 20:14:43 2019,0.39,5.77,14.67
26,normal,Wed Nov  6 20:14:44 2019,0.39,5.78,14.67
27,normal,Wed Nov  6 20:14:45 2019,0.4,5.91,14.66
28,normal,Wed Nov  6 20:14:46 2019,0.4,5.91,14.66
29,normal,Wed Nov  6 20:14:47 2019,0.4,5.91,14.66
30,normal,Wed Nov  6 20:14:48 2019,0.4,5.91,14.66
31,normal,Wed Nov  6 20:14:49 2019,0.43,6.32,14.66
32,normal,Wed Nov  6 20:14:50 2019,0.38,5.64,14.66
33,normal,Wed Nov  6 20:14:51 2019,0.39,5.77,14.66
34,normal,Wed Nov  6 20:14:52 2019,0.43,6.31,14.66
35,normal,Wed Nov  6 20:14:53 2019,0.43,6.32,14.66
36,normal,Wed Nov  6 20:14:54 2019,0.43,6.32,14.66
37,normal,Wed Nov  6 20:14:55 2019,0.43,6.32,14.65
38,normal,Wed Nov  6 20:14:56 2019,0.4,5.91,14.67
39,normal,Wed Nov  6 20:14:57 2019,0.4,5.91,14.66
40,normal,Wed Nov  6 20:14:58 2019,0.4,5.91,14.66
41,normal,Wed Nov  6 20:14:59 2019,0.4,5.91,14.68
42,normal,Wed Nov  6 20:15:00 2019,0.4,5.91,14.67
43,normal,Wed Nov  6 20:15:01 2019,0.38,5.64,14.67
44,normal,Wed Nov  6 20:15:03 2019,0.38,5.64,14.67
45,normal,Wed Nov  6 20:15:04 2019,0.37,5.51,14.67
46,normal,Wed Nov  6 20:15:05 2019,0.43,6.32,14.66
47,normal,Wed Nov  6 20:15:06 2019,0.37,5.51,14.68
48,normal,Wed Nov  6 20:15:07 2019,0.37,5.51,14.69
49,normal,Wed Nov  6 20:15:08 2019,0.4,5.91,14.67
50,normal,Wed Nov  6 20:15:09 2019,0.4,5.91,14.68
51,normal,Wed Nov  6 20:15:10 2019,0.38,5.64,14.68
52,normal,Wed Nov  6 20:15:11 2019,0.41,6.05,14.67
53,normal,Wed Nov  6 20:15:12 2019,0.38,5.64,14.68
54,normal,Wed Nov  6 20:15:13 2019,0.37,5.51,14.67
55,normal,Wed Nov  6 20:15:14 2019,0.43,6.32,14.68
56,normal,Wed Nov  6 20:15:15 2019,0.38,5.64,14.68
57,normal,Wed Nov  6 20:15:16 2019,0.39,5.78,14.67
58,normal,Wed Nov  6 20:15:17 2019,0.41,6.05,14.67
59,normal,Wed Nov  6 20:15:18 2019,0.41,6.05,14.66
60,normal,Wed Nov  6 20:15:19 2019,0.42,6.19,14.69
61,normal,Wed Nov  6 20:15:20 2019,0.38,5.65,14.68
62,normal,Wed Nov  6 20:15:21 2019,0.39,5.78,14.67
63,normal,Wed Nov  6 20:15:22 2019,0.38,5.65,14.67
64,normal,Wed Nov  6 20:15:23 2019,0.42,6.19,14.68
65,normal,Wed Nov  6 20:15:24 2019,0.39,5.78,14.69
66,normal,Wed Nov  6 20:15:25 2019,0.41,6.05,14.68
67,normal,Wed Nov  6 20:15:26 2019,0.39,5.78,14.67
68,normal,Wed Nov  6 20:15:27 2019,0.41,6.05,14.68
69,normal,Wed Nov  6 20:15:28 2019,0.38,5.64,14.68
70,normal,Wed Nov  6 20:15:29 2019,0.39,5.78,14.68
71,normal,Wed Nov  6 20:15:30 2019,0.43,6.32,14.69
72,normal,Wed Nov  6 20:15:31 2019,0.41,6.05,14.68
73,normal,Wed Nov  6 20:15:32 2019,0.36,5.38,14.68
74,normal,Wed Nov  6 20:15:33 2019,0.36,5.38,14.68
75,normal,Wed Nov  6 20:15:34 2019,0.43,6.32,14.67
76,normal,Wed Nov  6 20:15:35 2019,0.43,6.32,14.67
77,normal,Wed Nov  6 20:15:36 2019,0.41,6.05,14.68
78,normal,Wed Nov  6 20:15:37 2019,0.41,6.05,14.68
79,normal,Wed Nov  6 20:15:38 2019,0.38,5.65,14.67
80,normal,Wed Nov  6 20:15:39 2019,0.4,5.92,14.68
81,normal,Wed Nov  6 20:15:40 2019,0.41,6.05,14.68
82,normal,Wed Nov  6 20:15:41 2019,0.42,6.19,14.66
83,normal,Wed Nov  6 20:15:42 2019,0.43,6.32,14.69
84,normal,Wed Nov  6 20:15:43 2019,0.4,5.92,14.68
85,normal,Wed Nov  6 20:15:44 2019,0.38,5.65,14.69
86,normal,Wed Nov  6 20:15:45 2019,0.37,5.51,14.68
87,normal,Wed Nov  6 20:15:46 2019,0.4,5.92,14.68
88,normal,Wed Nov  6 20:15:47 2019,0.44,6.46,14.68
89,normal,Wed Nov  6 20:15:48 2019,0.37,5.51,14.69
90,normal,Wed Nov  6 20:15:49 2019,0.4,5.92,14.68
91,normal,Wed Nov  6 20:15:50 2019,0.41,6.05,14.7
92,normal,Wed Nov  6 20:15:51 2019,0.42,6.19,14.67
93,normal,Wed Nov  6 20:15:52 2019,0.4,5.92,14.69
94,normal,Wed Nov  6 20:15:53 2019,0.41,6.05,14.69
95,normal,Wed Nov  6 20:15:54 2019,0.39,5.78,14.68
96,normal,Wed Nov  6 20:15:55 2019,0.38,5.65,14.69
97,normal,Wed Nov  6 20:15:56 2019,0.43,6.32,14.69
98,normal,Wed Nov  6 20:15:57 2019,0.38,5.65,14.69
99,normal,Wed Nov  6 20:15:58 2019,0.4,5.92,14.69
100,normal,Wed Nov  6 20:15:59 2019,0.38,5.65,14.68
101,normal,Wed Nov  6 20:16:00 2019,0.42,6.19,14.68
102,normal,Wed Nov  6 20:16:01 2019,0.39,5.79,14.69
103,normal,Wed Nov  6 20:16:02 2019,0.43,6.32,14.69
104,normal,Wed Nov  6 20:16:03 2019,0.41,6.05,14.69
105,normal,Wed Nov  6 20:16:04 2019,0.39,5.79,14.7
106,normal,Wed Nov  6 20:16:05 2019,0.44,6.46,14.68
107,normal,Wed Nov  6 20:16:06 2019,0.38,5.65,14.68
108,normal,Wed Nov  6 20:16:07 2019,0.41,6.05,14.68
109,normal,Wed Nov  6 20:16:08 2019,0.41,6.05,14.7
110,normal,Wed Nov  6 20:16:09 2019,0.43,6.32,14.7
111,normal,Wed Nov  6 20:16:10 2019,0.43,6.33,14.68
112,normal,Wed Nov  6 20:16:11 2019,0.41,6.05,14.7
113,normal,Wed Nov  6 20:16:12 2019,0.43,6.46,14.71
114,normal,Wed Nov  6 20:16:13 2019,0.41,6.05,14.68
115,normal,Wed Nov  6 20:16:14 2019,0.4,5.92,14.68
116,normal,Wed Nov  6 20:16:15 2019,0.4,5.92,14.69
117,normal,Wed Nov  6 20:16:16 2019,0.41,6.06,14.7
118,normal,Wed Nov  6 20:16:17 2019,0.42,6.19,14.67
119,normal,Wed Nov  6 20:16:18 2019,0.42,6.19,14.69
120,normal,Wed Nov  6 20:16:19 2019,0.39,5.79,14.69
121,normal,Wed Nov  6 20:16:20 2019,0.38,5.65,14.7
122,normal,Wed Nov  6 20:16:21 2019,0.43,6.32,14.69
123,normal,Wed Nov  6 20:16:22 2019,0.42,6.19,14.7
124,normal,Wed Nov  6 20:16:23 2019,0.38,5.65,14.69
125,normal,Wed Nov  6 20:16:24 2019,0.39,5.79,14.69
126,normal,Wed Nov  6 20:16:25 2019,0.4,5.92,14.7
127,normal,Wed Nov  6 20:16:26 2019,0.4,5.92,14.69
128,normal,Wed Nov  6 20:16:27 2019,0.43,6.33,14.69
129,normal,Wed Nov  6 20:16:28 2019,0.4,5.92,14.68
130,normal,Wed Nov  6 20:16:29 2019,0.42,6.19,14.69
131,normal,Wed Nov  6 20:16:30 2019,0.4,5.92,14.69
132,normal,Wed Nov  6 20:16:31 2019,0.4,5.92,14.68
133,normal,Wed Nov  6 20:16:32 2019,0.41,6.06,14.69
134,normal,Wed Nov  6 20:16:33 2019,0.38,5.65,14.7
135,normal,Wed Nov  6 20:16:34 2019,0.43,6.33,14.7
136,normal,Wed Nov  6 20:16:35 2019,0.41,6.06,14.72
137,normal,Wed Nov  6 20:16:36 2019,0.41,6.06,14.69
138,normal,Wed Nov  6 20:16:37 2019,0.4,5.92,14.68
139,normal,Wed Nov  6 20:16:38 2019,0.41,6.06,14.68
140,normal,Wed Nov  6 20:16:39 2019,0.42,6.19,14.68
141,normal,Wed Nov  6 20:16:40 2019,0.43,6.33,14.71
142,normal,Wed Nov  6 20:16:41 2019,0.42,6.19,14.68
143,normal,Wed Nov  6 20:16:42 2019,0.39,5.79,14.7
144,normal,Wed Nov  6 20:16:43 2019,0.41,6.06,14.68
145,normal,Wed Nov  6 20:16:44 2019,0.43,6.32,14.68
146,normal,Wed Nov  6 20:16:45 2019,0.42,6.19,14.7
147,normal,Wed Nov  6 20:16:46 2019,0.39,5.79,14.69
148,normal,Wed Nov  6 20:16:48 2019,0.4,5.92,14.7
149,normal,Wed Nov  6 20:16:49 2019,0.43,6.33,14.7
150,normal,Wed Nov  6 20:16:50 2019,0.39,5.79,14.69
151,normal,Wed Nov  6 20:16:51 2019,0.42,6.19,14.7
152,normal,Wed Nov  6 20:16:52 2019,0.37,5.52,14.7
153,normal,Wed Nov  6 20:16:53 2019,0.39,5.79,14.7
154,normal,Wed Nov  6 20:16:54 2019,0.43,6.33,14.7
155,normal,Wed Nov  6 20:16:55 2019,0.42,6.19,14.68
156,normal,Wed Nov  6 20:16:56 2019,0.38,5.65,14.7
