,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 19:27:38 2019,0.16,10.39,62.86
1,normal,Wed Nov  6 19:27:39 2019,0.16,10.12,62.02
2,normal,Wed Nov  6 19:27:40 2019,0.16,10.27,61.43
3,normal,Wed Nov  6 19:27:41 2019,0.16,10.13,60.69
4,normal,Wed Nov  6 19:27:42 2019,0.16,9.87,60.01
5,normal,Wed Nov  6 19:27:43 2019,0.16,9.72,59.4
6,normal,Wed Nov  6 19:27:44 2019,0.16,9.59,59.03
7,normal,Wed Nov  6 19:27:45 2019,0.16,9.75,58.65
8,normal,Wed Nov  6 19:27:46 2019,0.16,9.6,58.31
9,normal,Wed Nov  6 19:27:47 2019,0.16,9.61,57.98
10,normal,Wed Nov  6 19:27:48 2019,0.16,9.61,57.81
11,normal,Wed Nov  6 19:27:49 2019,0.17,9.77,57.33
12,normal,Wed Nov  6 19:27:50 2019,0.16,9.34,57.05
13,normal,Wed Nov  6 19:27:51 2019,0.16,9.48,56.63
14,normal,Wed Nov  6 19:27:52 2019,0.16,9.35,56.41
15,normal,Wed Nov  6 19:27:53 2019,0.16,9.5,56.11
16,normal,Wed Nov  6 19:27:54 2019,0.16,9.21,55.75
17,normal,Wed Nov  6 19:27:55 2019,0.16,9.06,55.35
18,normal,Wed Nov  6 19:27:56 2019,0.16,9.22,55.17
19,normal,Wed Nov  6 19:27:57 2019,0.16,9.22,54.89
20,normal,Wed Nov  6 19:27:58 2019,0.16,9.08,54.49
21,normal,Wed Nov  6 19:27:59 2019,0.16,8.94,54.23
22,normal,Wed Nov  6 19:28:00 2019,0.16,8.94,53.79
23,normal,Wed Nov  6 19:28:01 2019,0.16,8.8,53.42
24,normal,Wed Nov  6 19:28:02 2019,0.16,8.8,53.1
25,normal,Wed Nov  6 19:28:03 2019,0.16,8.37,52.26
26,normal,Wed Nov  6 19:28:04 2019,0.15,8.23,51.85
27,normal,Wed Nov  6 19:28:05 2019,0.15,8.23,51.52
28,normal,Wed Nov  6 19:28:06 2019,0.15,8.08,50.75
29,normal,Wed Nov  6 19:28:07 2019,0.16,7.94,49.37
30,normal,Wed Nov  6 19:28:08 2019,0.16,7.51,46.8
31,normal,Wed Nov  6 19:28:09 2019,0.15,6.79,42.5
32,normal,Wed Nov  6 19:28:10 2019,0.15,6.22,39.27
33,normal,Wed Nov  6 19:28:11 2019,0.14,5.36,36.53
34,normal,Wed Nov  6 19:28:12 2019,0.14,5.21,36.39
35,normal,Wed Nov  6 19:28:13 2019,0.13,4.92,35.43
36,normal,Wed Nov  6 19:28:14 2019,0.14,4.91,34.99
37,normal,Wed Nov  6 19:28:15 2019,0.14,4.9,34.49
38,normal,Wed Nov  6 19:28:16 2019,0.13,4.62,33.84
39,normal,Wed Nov  6 19:28:17 2019,0.12,4.33,33.37
40,normal,Wed Nov  6 19:28:18 2019,0.12,4.04,32.83
41,normal,Wed Nov  6 19:28:19 2019,0.12,4.03,32.42
42,normal,Wed Nov  6 19:28:20 2019,0.11,3.75,31.9
43,normal,Wed Nov  6 19:28:21 2019,0.11,3.6,31.47
44,normal,Wed Nov  6 19:28:22 2019,0.12,3.88,31.21
45,normal,Wed Nov  6 19:28:23 2019,0.11,3.59,30.75
46,normal,Wed Nov  6 19:28:24 2019,0.12,3.72,30.52
47,normal,Wed Nov  6 19:28:25 2019,0.11,3.44,30.07
48,normal,Wed Nov  6 19:28:26 2019,0.11,3.3,29.72
49,normal,Wed Nov  6 19:28:27 2019,0.12,3.57,29.48
50,normal,Wed Nov  6 19:28:28 2019,0.12,3.7,29.21
51,normal,Wed Nov  6 19:28:29 2019,0.11,3.42,28.84
52,normal,Wed Nov  6 19:28:30 2019,0.11,3.28,28.52
53,normal,Wed Nov  6 19:28:31 2019,0.11,3.28,28.22
54,normal,Wed Nov  6 19:28:32 2019,0.11,3.27,27.97
55,normal,Wed Nov  6 19:28:33 2019,0.11,3.27,27.66
56,normal,Wed Nov  6 19:28:34 2019,0.12,3.4,27.4
57,normal,Wed Nov  6 19:28:35 2019,0.12,3.26,27.14
58,normal,Wed Nov  6 19:28:36 2019,0.12,3.26,26.87
59,normal,Wed Nov  6 19:28:37 2019,0.11,2.99,26.6
60,normal,Wed Nov  6 19:28:38 2019,0.11,3.12,26.34
61,normal,Wed Nov  6 19:28:39 2019,0.12,3.25,26.16
62,normal,Wed Nov  6 19:28:40 2019,0.12,3.25,25.96
63,normal,Wed Nov  6 19:28:41 2019,0.12,3.12,25.74
64,normal,Wed Nov  6 19:28:42 2019,0.12,3.12,25.5
65,normal,Wed Nov  6 19:28:43 2019,0.11,2.98,25.21
66,normal,Wed Nov  6 19:28:44 2019,0.11,2.84,24.9
67,normal,Wed Nov  6 19:28:45 2019,0.12,3.11,24.87
68,normal,Wed Nov  6 19:28:46 2019,0.12,3.11,24.6
69,normal,Wed Nov  6 19:28:47 2019,0.11,2.84,24.36
70,normal,Wed Nov  6 19:28:48 2019,0.12,2.97,24.18
71,normal,Wed Nov  6 19:28:49 2019,0.11,2.7,23.9
72,normal,Wed Nov  6 19:28:50 2019,0.11,2.84,23.73
