,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 19:52:26 2019,0.15,2.25,14.36
1,normal,Wed Nov  6 19:52:27 2019,0.14,2.12,14.35
2,normal,Wed Nov  6 19:52:28 2019,0.14,2.12,14.34
3,normal,Wed Nov  6 19:52:29 2019,0.15,2.25,14.34
4,normal,Wed Nov  6 19:52:30 2019,0.16,2.38,14.35
5,normal,Wed Nov  6 19:52:31 2019,0.17,2.51,14.35
6,normal,Wed Nov  6 19:52:32 2019,0.18,2.65,14.35
7,normal,Wed Nov  6 19:52:33 2019,0.18,2.65,14.37
8,normal,Wed Nov  6 19:52:34 2019,0.18,2.65,14.36
9,normal,Wed Nov  6 19:52:35 2019,0.17,2.51,14.37
10,normal,Wed Nov  6 19:52:36 2019,0.18,2.65,14.37
11,normal,Wed Nov  6 19:52:37 2019,0.19,2.78,14.38
12,normal,Wed Nov  6 19:52:38 2019,0.18,2.65,14.39
13,normal,Wed Nov  6 19:52:39 2019,0.2,2.91,14.38
14,normal,Wed Nov  6 19:52:40 2019,0.19,2.78,14.38
15,normal,Wed Nov  6 19:52:41 2019,0.2,2.91,14.39
16,normal,Wed Nov  6 19:52:42 2019,0.2,2.91,14.37
17,normal,Wed Nov  6 19:52:43 2019,0.19,2.78,14.38
18,normal,Wed Nov  6 19:52:44 2019,0.2,2.91,14.38
19,normal,Wed Nov  6 19:52:45 2019,0.21,3.04,14.38
20,normal,Wed Nov  6 19:52:46 2019,0.22,3.18,14.38
21,normal,Wed Nov  6 19:52:47 2019,0.21,3.04,14.38
22,normal,Wed Nov  6 19:52:48 2019,0.21,3.05,14.39
23,normal,Wed Nov  6 19:52:49 2019,0.23,3.31,14.4
24,normal,Wed Nov  6 19:52:50 2019,0.27,3.98,14.42
25,normal,Wed Nov  6 19:52:51 2019,0.29,4.24,14.44
26,normal,Wed Nov  6 19:52:52 2019,0.28,4.11,14.42
27,normal,Wed Nov  6 19:52:54 2019,0.29,4.24,14.43
28,normal,Wed Nov  6 19:52:55 2019,0.26,3.84,14.43
29,normal,Wed Nov  6 19:52:56 2019,0.28,4.11,14.44
30,normal,Wed Nov  6 19:52:57 2019,0.27,3.98,14.43
31,normal,Wed Nov  6 19:52:58 2019,0.27,3.98,14.42
32,normal,Wed Nov  6 19:52:59 2019,0.25,3.71,14.42
33,normal,Wed Nov  6 19:53:00 2019,0.27,3.98,14.42
34,normal,Wed Nov  6 19:53:01 2019,0.28,4.11,14.43
35,normal,Wed Nov  6 19:53:02 2019,0.3,4.38,14.43
36,normal,Wed Nov  6 19:53:03 2019,0.29,4.24,14.44
37,normal,Wed Nov  6 19:53:04 2019,0.31,4.51,14.45
38,normal,Wed Nov  6 19:53:05 2019,0.31,4.51,14.46
39,normal,Wed Nov  6 19:53:06 2019,0.3,4.38,14.47
40,normal,Wed Nov  6 19:53:07 2019,0.34,5.05,14.47
41,normal,Wed Nov  6 19:53:08 2019,0.34,5.05,14.47
42,normal,Wed Nov  6 19:53:09 2019,0.36,5.31,14.49
43,normal,Wed Nov  6 19:53:10 2019,0.37,5.44,14.5
44,normal,Wed Nov  6 19:53:11 2019,0.37,5.44,14.49
45,normal,Wed Nov  6 19:53:12 2019,0.37,5.45,14.5
46,normal,Wed Nov  6 19:53:13 2019,0.35,5.18,14.49
47,normal,Wed Nov  6 19:53:14 2019,0.36,5.32,14.5
48,normal,Wed Nov  6 19:53:15 2019,0.36,5.32,14.51
49,normal,Wed Nov  6 19:53:16 2019,0.36,5.32,14.49
50,normal,Wed Nov  6 19:53:17 2019,0.36,5.32,14.49
51,normal,Wed Nov  6 19:53:18 2019,0.36,5.32,14.49
52,normal,Wed Nov  6 19:53:19 2019,0.35,5.18,14.5
53,normal,Wed Nov  6 19:53:20 2019,0.35,5.18,14.51
54,normal,Wed Nov  6 19:53:21 2019,0.35,5.18,14.49
55,normal,Wed Nov  6 19:53:22 2019,0.35,5.18,14.5
