,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 19:40:54 2019,0.19,2.8,14.47
1,normal,Wed Nov  6 19:40:55 2019,0.21,3.07,14.47
2,normal,Wed Nov  6 19:40:56 2019,0.18,2.67,14.45
3,normal,Wed Nov  6 19:40:57 2019,0.17,2.53,14.46
4,normal,Wed Nov  6 19:40:58 2019,0.21,3.07,14.45
5,normal,Wed Nov  6 19:40:59 2019,0.16,2.4,14.45
6,normal,Wed Nov  6 19:41:00 2019,0.2,2.93,14.45
7,normal,Wed Nov  6 19:41:01 2019,0.19,2.8,14.45
8,normal,Wed Nov  6 19:41:02 2019,0.18,2.67,14.45
9,normal,Wed Nov  6 19:41:03 2019,0.13,2.0,14.45
10,normal,Wed Nov  6 19:41:04 2019,0.16,2.4,14.46
11,normal,Wed Nov  6 19:41:05 2019,0.18,2.67,14.45
12,normal,Wed Nov  6 19:41:06 2019,0.21,3.07,14.47
13,normal,Wed Nov  6 19:41:07 2019,0.21,3.07,14.47
14,normal,Wed Nov  6 19:41:08 2019,0.19,2.8,14.47
15,normal,Wed Nov  6 19:41:09 2019,0.16,2.4,14.46
16,normal,Wed Nov  6 19:41:10 2019,0.17,2.53,14.47
17,normal,Wed Nov  6 19:41:11 2019,0.22,3.2,14.46
18,normal,Wed Nov  6 19:41:12 2019,0.21,3.07,14.47
19,normal,Wed Nov  6 19:41:13 2019,0.2,2.93,14.46
20,normal,Wed Nov  6 19:41:14 2019,0.2,2.93,14.43
21,normal,Wed Nov  6 19:41:15 2019,0.15,2.26,14.45
22,normal,Wed Nov  6 19:41:16 2019,0.18,2.67,14.45
23,normal,Wed Nov  6 19:41:17 2019,0.16,2.4,14.45
24,normal,Wed Nov  6 19:41:18 2019,0.19,2.8,14.45
25,normal,Wed Nov  6 19:41:19 2019,0.21,3.07,14.44
26,normal,Wed Nov  6 19:41:20 2019,0.17,2.53,14.46
27,normal,Wed Nov  6 19:41:21 2019,0.14,2.13,14.46
28,normal,Wed Nov  6 19:41:22 2019,0.2,2.93,14.47
29,normal,Wed Nov  6 19:41:23 2019,0.18,2.67,14.44
30,normal,Wed Nov  6 19:41:24 2019,0.17,2.53,14.45
31,normal,Wed Nov  6 19:41:25 2019,0.18,2.67,14.45
32,normal,Wed Nov  6 19:41:26 2019,0.21,3.07,14.45
33,normal,Wed Nov  6 19:41:27 2019,0.16,2.4,14.45
34,normal,Wed Nov  6 19:41:28 2019,0.2,2.93,14.46
35,normal,Wed Nov  6 19:41:29 2019,0.14,2.13,14.46
36,normal,Wed Nov  6 19:41:30 2019,0.22,3.2,14.46
37,normal,Wed Nov  6 19:41:31 2019,0.22,3.2,14.46
38,normal,Wed Nov  6 19:41:32 2019,0.17,2.53,14.45
39,normal,Wed Nov  6 19:41:33 2019,0.14,2.13,14.45
40,normal,Wed Nov  6 19:41:34 2019,0.19,2.8,14.45
