,Condition,Date/Time,current,power,voltage
0,normal,Wed Nov  6 16:35:43 2019,0.38,5.55,14.48
1,normal,Wed Nov  6 16:35:44 2019,0.39,6.08,15.31
2,normal,Wed Nov  6 16:35:45 2019,0.39,6.48,16.51
3,normal,Wed Nov  6 16:35:46 2019,0.38,6.88,17.92
4,normal,Wed Nov  6 16:35:47 2019,0.38,7.54,19.58
5,normal,Wed Nov  6 16:35:48 2019,0.37,8.21,21.62
6,normal,Wed Nov  6 16:35:49 2019,0.37,9.15,24.11
7,normal,Wed Nov  6 16:35:50 2019,0.37,10.1,27.23
8,normal,Wed Nov  6 16:35:51 2019,0.36,11.44,31.33
9,normal,Wed Nov  6 16:35:52 2019,0.35,13.21,36.9
10,normal,Wed Nov  6 16:35:53 2019,0.35,15.52,44.23
11,normal,Wed Nov  6 16:35:54 2019,0.32,18.45,56.44
12,normal,Wed Nov  6 16:35:55 2019,0.28,22.4,77.53
13,normal,Wed Nov  6 16:35:56 2019,0.25,26.06,101.77
14,normal,Wed Nov  6 16:35:57 2019,0.23,24.08,101.65
15,normal,Wed Nov  6 16:35:58 2019,0.25,26.02,100.5
16,normal,Wed Nov  6 16:35:59 2019,0.25,26.14,100.67
17,normal,Wed Nov  6 16:36:00 2019,0.23,24.24,101.62
18,normal,Wed Nov  6 16:36:01 2019,0.23,23.69,102.27
19,normal,Wed Nov  6 16:36:02 2019,0.22,22.99,102.46
20,normal,Wed Nov  6 16:36:03 2019,0.2,20.79,103.33
21,normal,Wed Nov  6 16:36:04 2019,0.18,19.12,103.79
22,normal,Wed Nov  6 16:36:05 2019,0.16,17.1,104.3
23,normal,Wed Nov  6 16:36:06 2019,0.14,14.92,104.89
24,normal,Wed Nov  6 16:36:07 2019,0.13,13.87,105.29
25,normal,Wed Nov  6 16:36:08 2019,0.11,12.54,105.57
26,normal,Wed Nov  6 16:36:09 2019,0.11,12.39,105.61
27,normal,Wed Nov  6 16:36:10 2019,0.11,12.08,105.75
28,normal,Wed Nov  6 16:36:11 2019,0.11,11.78,105.79
29,normal,Wed Nov  6 16:36:12 2019,0.11,11.76,105.84
30,normal,Wed Nov  6 16:36:13 2019,0.1,11.47,105.89
31,normal,Wed Nov  6 16:36:14 2019,0.1,11.31,105.96
32,normal,Wed Nov  6 16:36:15 2019,0.1,11.31,106
33,normal,Wed Nov  6 16:36:16 2019,0.1,11.01,106.07
34,normal,Wed Nov  6 16:36:17 2019,0.1,11,106.04
35,normal,Wed Nov  6 16:36:18 2019,0.1,11.14,106.01
36,normal,Wed Nov  6 16:36:19 2019,0.1,11.14,106.04
37,normal,Wed Nov  6 16:36:20 2019,0.1,11.14,106.04
38,normal,Wed Nov  6 16:36:21 2019,0.1,11.13,106.02
39,normal,Wed Nov  6 16:36:22 2019,0.1,10.98,106.04
40,normal,Wed Nov  6 16:36:23 2019,0.1,11.14,106.04
41,normal,Wed Nov  6 16:36:24 2019,0.1,10.99,106.04
42,normal,Wed Nov  6 16:36:25 2019,0.1,10.99,106.05
43,normal,Wed Nov  6 16:36:26 2019,0.1,11.14,106.02
44,normal,Wed Nov  6 16:36:27 2019,0.1,11.13,106.03
45,normal,Wed Nov  6 16:36:28 2019,0.1,10.99,106
46,normal,Wed Nov  6 16:36:29 2019,0.1,11.14,106.04
47,normal,Wed Nov  6 16:36:30 2019,0.1,10.99,106.06
48,normal,Wed Nov  6 16:36:31 2019,0.1,10.71,106.02
49,normal,Wed Nov  6 16:36:32 2019,0.1,10.86,106.03
50,normal,Wed Nov  6 16:36:33 2019,0.1,11.01,106.03
51,normal,Wed Nov  6 16:36:34 2019,0.1,11.15,106.04
52,normal,Wed Nov  6 16:36:35 2019,0.1,11.01,106.06
53,normal,Wed Nov  6 16:36:36 2019,0.1,10.72,106.06
54,normal,Wed Nov  6 16:36:37 2019,0.1,10.73,106.14
55,normal,Wed Nov  6 16:36:38 2019,0.09,10.57,106.17
56,normal,Wed Nov  6 16:36:39 2019,0.09,10.58,106.17
57,normal,Wed Nov  6 16:36:40 2019,0.09,10.43,106.18
58,normal,Wed Nov  6 16:36:41 2019,0.09,10.28,106.17
59,normal,Wed Nov  6 16:36:42 2019,0.09,10.28,106.24
60,normal,Wed Nov  6 16:36:43 2019,0.09,10.28,106.22
61,normal,Wed Nov  6 16:36:44 2019,0.09,10.28,106.2
62,normal,Wed Nov  6 16:36:45 2019,0.09,10.28,106.24
63,normal,Wed Nov  6 16:36:46 2019,0.09,10.28,106.2
64,normal,Wed Nov  6 16:36:47 2019,0.09,10.28,106.22
65,normal,Wed Nov  6 16:36:48 2019,0.09,10.27,106.21
66,normal,Wed Nov  6 16:36:49 2019,0.09,10.28,106.2
67,normal,Wed Nov  6 16:36:50 2019,0.09,10.44,106.22
68,normal,Wed Nov  6 16:36:51 2019,0.09,10.28,106.21
69,normal,Wed Nov  6 16:36:52 2019,0.09,10.14,106.24
70,normal,Wed Nov  6 16:36:53 2019,0.09,10.14,106.24
71,normal,Wed Nov  6 16:36:54 2019,0.09,10.28,106.28
72,normal,Wed Nov  6 16:36:55 2019,0.09,10.14,106.28
73,normal,Wed Nov  6 16:36:56 2019,0.09,10.14,106.3
74,normal,Wed Nov  6 16:36:57 2019,0.09,10,106.26
75,normal,Wed Nov  6 16:36:58 2019,0.09,9.99,106.25
76,normal,Wed Nov  6 16:36:59 2019,0.09,9.99,106.28
77,normal,Wed Nov  6 16:37:00 2019,0.09,9.99,106.27
78,normal,Wed Nov  6 16:37:02 2019,0.09,9.85,106.31
79,normal,Wed Nov  6 16:37:03 2019,0.09,9.85,106.27
80,normal,Wed Nov  6 16:37:04 2019,0.09,9.84,106.29
81,normal,Wed Nov  6 16:37:05 2019,0.09,9.85,106.21
82,normal,Wed Nov  6 16:37:06 2019,0.08,9.55,106.21
83,normal,Wed Nov  6 16:37:07 2019,0.09,9.7,106.26
84,normal,Wed Nov  6 16:37:08 2019,0.09,9.7,106.24
85,normal,Wed Nov  6 16:37:09 2019,0.09,9.7,106.21
86,normal,Wed Nov  6 16:37:10 2019,0.09,9.85,106.24
87,normal,Wed Nov  6 16:37:11 2019,0.09,9.7,106.22
88,normal,Wed Nov  6 16:37:12 2019,0.09,9.7,106.29
89,normal,Wed Nov  6 16:37:13 2019,0.09,9.7,106.25
90,normal,Wed Nov  6 16:37:14 2019,0.09,9.84,106.27
91,normal,Wed Nov  6 16:37:15 2019,0.09,9.56,106.23
92,normal,Wed Nov  6 16:37:16 2019,0.09,9.7,106.26
93,normal,Wed Nov  6 16:37:17 2019,0.09,9.7,106.23
94,normal,Wed Nov  6 16:37:18 2019,0.08,9.41,106.26
95,normal,Wed Nov  6 16:37:19 2019,0.08,9.55,106.26
96,normal,Wed Nov  6 16:37:20 2019,0.08,9.56,106.29
97,normal,Wed Nov  6 16:37:21 2019,0.08,9.41,106.24
98,normal,Wed Nov  6 16:37:22 2019,0.09,9.56,106.26
99,normal,Wed Nov  6 16:37:23 2019,0.09,9.7,106.26
100,normal,Wed Nov  6 16:37:24 2019,0.09,9.56,106.24
101,normal,Wed Nov  6 16:37:25 2019,0.08,9.56,106.28
102,normal,Wed Nov  6 16:37:26 2019,0.09,9.7,106.26
103,normal,Wed Nov  6 16:37:27 2019,0.08,9.56,106.31
104,normal,Wed Nov  6 16:37:28 2019,0.08,9.56,106.29
105,normal,Wed Nov  6 16:37:29 2019,0.08,9.41,106.3
106,normal,Wed Nov  6 16:37:30 2019,0.08,9.27,106.26
107,normal,Wed Nov  6 16:37:31 2019,0.08,9.41,106.32
108,normal,Wed Nov  6 16:37:32 2019,0.08,9.56,106.34
109,normal,Wed Nov  6 16:37:33 2019,0.08,9.41,106.34
110,normal,Wed Nov  6 16:37:34 2019,0.08,9.41,106.36
111,normal,Wed Nov  6 16:37:35 2019,0.08,9.27,106.35
112,normal,Wed Nov  6 16:37:36 2019,0.08,9.41,106.37
113,normal,Wed Nov  6 16:37:37 2019,0.08,9.27,106.38
114,normal,Wed Nov  6 16:37:38 2019,0.08,8.97,106.37
115,normal,Wed Nov  6 16:37:39 2019,0.08,9.26,106.4
116,normal,Wed Nov  6 16:37:40 2019,0.08,9.12,106.38
117,normal,Wed Nov  6 16:37:41 2019,0.08,9.27,106.41
118,normal,Wed Nov  6 16:37:42 2019,0.08,9.26,106.39
119,normal,Wed Nov  6 16:37:43 2019,0.08,9.12,106.39
120,open,Wed Nov  6 16:37:44 2019,0,0,3.63
121,open,Wed Nov  6 16:37:45 2019,0,0,3.62
122,open,Wed Nov  6 16:37:46 2019,0,0,3.59
123,open,Wed Nov  6 16:37:47 2019,0,0,3.59
124,open,Wed Nov  6 16:37:48 2019,0,0,3.59
125,open,Wed Nov  6 16:37:49 2019,0,0,3.58
126,open,Wed Nov  6 16:37:50 2019,0,0,3.55
127,open,Wed Nov  6 16:37:51 2019,0,0,3.55
128,open,Wed Nov  6 16:37:52 2019,0,0,3.55
129,open,Wed Nov  6 16:37:53 2019,0,0,3.54
130,open,Wed Nov  6 16:37:54 2019,0,0,3.53
131,open,Wed Nov  6 16:37:55 2019,0,0,3.51
132,open,Wed Nov  6 16:37:56 2019,0,0,3.5
133,open,Wed Nov  6 16:37:57 2019,0,0,3.51
134,open,Wed Nov  6 16:37:58 2019,0,0,3.48
135,open,Wed Nov  6 16:37:59 2019,0,0,3.48
136,open,Wed Nov  6 16:38:00 2019,0,0,3.45
137,open,Wed Nov  6 16:38:01 2019,0,0,3.37
138,open,Wed Nov  6 16:38:02 2019,0,0,3.37
139,open,Wed Nov  6 16:38:03 2019,0,0,3.36
140,open,Wed Nov  6 16:38:04 2019,0,0,3.38
141,open,Wed Nov  6 16:38:05 2019,0,0,3.41
142,open,Wed Nov  6 16:38:06 2019,0,0,3.39
143,open,Wed Nov  6 16:38:07 2019,0,0,3.36
144,open,Wed Nov  6 16:38:08 2019,0,0,3.33
145,open,Wed Nov  6 16:38:09 2019,0,0,3.36
146,open,Wed Nov  6 16:38:10 2019,0,0,3.33
147,open,Wed Nov  6 16:38:11 2019,0,0,3.33
148,open,Wed Nov  6 16:38:12 2019,0,0,3.3
149,open,Wed Nov  6 16:38:13 2019,0,0,3.29
150,open,Wed Nov  6 16:38:14 2019,0,0,3.29
151,open,Wed Nov  6 16:38:15 2019,0,0,3.28
152,open,Wed Nov  6 16:38:16 2019,0,0,3.26
153,open,Wed Nov  6 16:38:17 2019,0,0,3.26
154,open,Wed Nov  6 16:38:18 2019,0,0,3.23
155,open,Wed Nov  6 16:38:19 2019,0,0,3.22
156,open,Wed Nov  6 16:38:20 2019,0,0,3.19
157,open,Wed Nov  6 16:38:21 2019,0,0,3.2
158,open,Wed Nov  6 16:38:22 2019,0,0,3.19
159,open,Wed Nov  6 16:38:23 2019,0,0,3.14
160,open,Wed Nov  6 16:38:24 2019,0,0,3.16
161,open,Wed Nov  6 16:38:25 2019,0,0,3.11
162,open,Wed Nov  6 16:38:26 2019,0,0,3.09
163,open,Wed Nov  6 16:38:27 2019,0,0,3.1
164,open,Wed Nov  6 16:38:28 2019,0,0,3.07
165,open,Wed Nov  6 16:38:29 2019,0,0,3.04
166,open,Wed Nov  6 16:38:30 2019,0,0,3.04
167,open,Wed Nov  6 16:38:31 2019,0,0,3.03
168,open,Wed Nov  6 16:38:32 2019,0,0,3.01
169,open,Wed Nov  6 16:38:33 2019,0,0,2.96
170,open,Wed Nov  6 16:38:34 2019,0,0,2.96
171,open,Wed Nov  6 16:38:35 2019,0,0,2.92
172,open,Wed Nov  6 16:38:36 2019,0,0,2.9
173,open,Wed Nov  6 16:38:37 2019,0,0,2.85
174,open,Wed Nov  6 16:38:38 2019,0,0,2.83
175,open,Wed Nov  6 16:38:39 2019,0,0,2.79
176,open,Wed Nov  6 16:38:40 2019,0,0,2.77
177,open,Wed Nov  6 16:38:41 2019,0,0,2.74
178,open,Wed Nov  6 16:38:42 2019,0,0,2.72
179,open,Wed Nov  6 16:38:43 2019,0,0,2.67
180,normal,Wed Nov  6 16:38:44 2019,0,0.52,108.84
181,normal,Wed Nov  6 16:38:45 2019,0,0.52,108.87
182,normal,Wed Nov  6 16:38:46 2019,0,0.92,108.27
183,normal,Wed Nov  6 16:38:47 2019,0,1.05,108.32
184,normal,Wed Nov  6 16:38:48 2019,0.01,1.19,108.33
185,normal,Wed Nov  6 16:38:49 2019,0.01,1.18,108.33
186,normal,Wed Nov  6 16:38:50 2019,0.01,1.18,108.3
