,Condition,Date/Time,current,power,voltage
0,normal,Thu Nov 21 14:11:46 2019,0.0,0.0,1.71
1,normal,Thu Nov 21 14:11:47 2019,0.02,2.25,107.27
2,normal,Thu Nov 21 14:11:48 2019,0.04,4.51,106.94
3,normal,Thu Nov 21 14:11:49 2019,0.07,8.28,106.23
4,normal,Thu Nov 21 14:11:50 2019,0.2,21.48,103.16
5,normal,Thu Nov 21 14:11:51 2019,0.28,23.9,82.52
6,normal,Thu Nov 21 14:11:52 2019,0.31,21.48,68.4
7,normal,Thu Nov 21 14:11:53 2019,0.32,18.94,58.3
8,normal,Thu Nov 21 14:11:54 2019,0.34,17.4,50.81
9,normal,Thu Nov 21 14:11:55 2019,0.34,15.62,44.95
10,normal,Thu Nov 21 14:11:56 2019,0.35,14.49,40.31
11,normal,Thu Nov 21 14:11:57 2019,0.36,13.34,36.51
12,normal,Thu Nov 21 14:11:58 2019,0.36,12.32,33.37
13,normal,Thu Nov 21 14:11:59 2019,0.36,11.18,30.72
14,normal,Thu Nov 21 14:12:00 2019,0.38,11.06,28.46
15,normal,Thu Nov 21 14:12:01 2019,0.38,10.29,26.48
16,normal,Thu Nov 21 14:12:02 2019,0.39,9.67,24.77
17,normal,Thu Nov 21 14:12:03 2019,0.4,9.42,23.26
18,normal,Thu Nov 21 14:12:04 2019,0.4,9.03,22.54
19,normal,Thu Nov 21 14:12:05 2019,0.39,8.4,21.34
20,normal,Thu Nov 21 14:12:06 2019,0.4,8.15,20.28
21,normal,Thu Nov 21 14:12:07 2019,0.4,7.78,19.31
22,normal,Thu Nov 21 14:12:08 2019,0.41,7.64,18.41
23,normal,Thu Nov 21 14:12:09 2019,0.41,7.27,17.63
24,normal,Thu Nov 21 14:12:10 2019,0.41,7.02,16.85
25,normal,Thu Nov 21 14:12:11 2019,0.41,6.77,16.2
26,normal,Thu Nov 21 14:12:12 2019,0.42,6.64,15.57
27,normal,Thu Nov 21 14:12:13 2019,0.42,6.39,14.98
28,normal,Thu Nov 21 14:12:14 2019,0.42,6.13,14.47
29,normal,Thu Nov 21 14:12:15 2019,0.43,6.13,13.96
30,normal,Thu Nov 21 14:12:16 2019,0.44,6.39,14.34
31,normal,Thu Nov 21 14:12:17 2019,0.43,6.64,15.43
32,normal,Thu Nov 21 14:12:18 2019,0.41,6.89,16.72
33,normal,Thu Nov 21 14:12:19 2019,0.4,7.39,18.24
34,normal,Thu Nov 21 14:12:21 2019,0.4,8.02,20.05
35,normal,Thu Nov 21 14:12:22 2019,0.38,8.65,22.27
36,normal,Thu Nov 21 14:12:23 2019,0.38,9.53,25.03
37,normal,Thu Nov 21 14:12:24 2019,0.37,10.8,28.61
38,normal,Thu Nov 21 14:12:25 2019,0.36,12.2,33.35
39,normal,Thu Nov 21 14:12:26 2019,0.35,14.1,40.01
40,normal,Thu Nov 21 14:12:27 2019,0.33,16.64,49.36
41,normal,Thu Nov 21 14:12:28 2019,0.31,20.47,66.05
42,normal,Thu Nov 21 14:12:29 2019,0.24,24.32,98.34
43,normal,Thu Nov 21 14:12:30 2019,0.28,28.29,97.83
44,normal,Thu Nov 21 14:12:31 2019,0.29,28.55,97.47
45,normal,Thu Nov 21 14:12:32 2019,0.29,28.95,97.58
46,normal,Thu Nov 21 14:12:33 2019,0.29,28.32,97.48
47,normal,Thu Nov 21 14:12:34 2019,0.29,28.32,97.12
48,normal,Thu Nov 21 14:12:35 2019,0.29,28.32,97.51
49,normal,Thu Nov 21 14:12:36 2019,0.29,28.44,97.53
50,normal,Thu Nov 21 14:12:37 2019,0.29,28.57,97.49
51,normal,Thu Nov 21 14:12:38 2019,0.29,28.47,97.57
52,normal,Thu Nov 21 14:12:39 2019,0.29,28.57,97.56
53,normal,Thu Nov 21 14:12:40 2019,0.29,28.57,97.6
