Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Thu Nov 21 11:02:29 2019,partial_shading,0.3,30.8,99.91,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:30 2019,partial_shading,0.28,28.66,99.57,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:31 2019,partial_shading,0.28,28.66,99.14,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:32 2019,partial_shading,0.28,28.29,99.13,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:33 2019,partial_shading,0.29,28.41,97.4,,full_shading,0.21,2.85,13.5
Thu Nov 21 11:02:34 2019,partial_shading,0.28,28.04,97.34,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:35 2019,partial_shading,0.31,30.28,96.07,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:02:36 2019,partial_shading,0.29,28.04,96.58,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:37 2019,partial_shading,0.29,28.41,96.61,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:02:38 2019,partial_shading,0.29,28.29,96.21,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:40 2019,partial_shading,0.29,28.41,96.21,,full_shading,0.21,2.85,13.51
Thu Nov 21 11:02:41 2019,partial_shading,0.29,28.54,96.2,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:42 2019,partial_shading,0.3,29.31,96.34,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:43 2019,partial_shading,0.29,28.29,95.82,,full_shading,0.21,2.85,13.53
Thu Nov 21 11:02:44 2019,partial_shading,0.29,28.29,95.82,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:45 2019,partial_shading,0.29,28.04,96.6,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:02:46 2019,partial_shading,0.29,28.41,97.42,,full_shading,0.20,2.73,13.53
Thu Nov 21 11:02:47 2019,partial_shading,0.28,28.04,97.43,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:02:48 2019,partial_shading,0.28,28.17,97.43,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:49 2019,partial_shading,0.29,28.41,97.46,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:50 2019,partial_shading,0.29,28.41,97.45,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:51 2019,partial_shading,0.29,28.91,97.89,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:52 2019,partial_shading,0.29,28.79,97.91,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:53 2019,partial_shading,0.3,28.29,94.28,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:54 2019,partial_shading,0.28,28.17,97.38,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:55 2019,partial_shading,0.3,29.03,96.67,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:02:56 2019,partial_shading,0.29,28.29,96.65,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:02:57 2019,partial_shading,0.29,28.54,96.26,,full_shading,0.21,2.85,13.48
Thu Nov 21 11:02:58 2019,partial_shading,0.29,28.54,96.69,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:02:59 2019,partial_shading,0.29,28.41,96.67,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:00 2019,partial_shading,0.29,28.41,96.28,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:03:01 2019,partial_shading,0.31,30.3,96.05,,full_shading,0.21,2.85,13.52
Thu Nov 21 11:03:02 2019,partial_shading,0.29,27.92,96.18,,full_shading,0.20,2.73,13.5
Thu Nov 21 11:03:03 2019,partial_shading,0.29,27.92,96.18,,full_shading,0.19,2.6,13.49
Thu Nov 21 11:03:04 2019,partial_shading,0.28,27.79,96.18,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:05 2019,partial_shading,0.28,27.79,96.17,,full_shading,0.19,2.6,13.52
Thu Nov 21 11:03:06 2019,partial_shading,0.29,28.29,96.22,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:07 2019,partial_shading,0.3,29.53,96.42,,full_shading,0.21,2.85,13.51
Thu Nov 21 11:03:08 2019,partial_shading,0.28,27.42,96.51,,full_shading,0.20,2.73,13.53
Thu Nov 21 11:03:09 2019,partial_shading,0.28,27.42,96.5,,full_shading,0.21,2.85,13.53
Thu Nov 21 11:03:10 2019,partial_shading,0.28,27.17,96.87,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:11 2019,partial_shading,0.28,27.55,96.89,,full_shading,0.20,2.73,13.52
Thu Nov 21 11:03:12 2019,partial_shading,0.28,27.55,96.51,,full_shading,0.20,2.73,13.51
Thu Nov 21 11:03:13 2019,partial_shading,0.29,28.41,97.02,,full_shading,0.20,2.73,13.51
