Date/Time,Condition,current,power,voltage,,Condition,current,power,voltage
Mon Nov 25 13:34:29 2019,normal,0.78,35.8,45.59,,water,0.97,42.66,43.92
Mon Nov 25 13:34:30 2019,normal,0.78,35.8,45.51,,water,0.96,42.53,43.92
Mon Nov 25 13:34:31 2019,normal,0.78,35.93,45.53,,water,0.99,43.57,43.92
Mon Nov 25 13:34:32 2019,normal,0.78,35.8,45.63,,water,0.99,43.86,44.25
Mon Nov 25 13:34:33 2019,normal,0.79,36.49,45.96,,water,0.97,43.09,44.35
Mon Nov 25 13:34:34 2019,normal,0.79,36.35,45.96,,water,0.98,43.99,44.78
Mon Nov 25 13:34:35 2019,normal,0.79,36.62,46.23,,water,0.99,44.38,44.79
Mon Nov 25 13:34:36 2019,normal,0.79,36.62,46.23,,water,0.23,10.51,45.01
Mon Nov 25 13:34:37 2019,normal,0.79,36.75,46.24,,water,0.97,42.92,44.17
Mon Nov 25 13:34:38 2019,normal,0.78,36.62,46.61,,water,0.99,43.83,44.27
Mon Nov 25 13:34:39 2019,normal,0.79,37.55,47.06,,water,0.99,43.99,44.25
Mon Nov 25 13:34:40 2019,normal,0.79,37.42,47.26,,water,0.99,44.64,44.95
Mon Nov 25 13:34:41 2019,normal,0.79,38.24,48.04,,water,0.99,44.77,45.16
Mon Nov 25 13:34:42 2019,normal,0.79,38.64,48.63,,water,0.97,44.6,45.73
Mon Nov 25 13:34:43 2019,normal,0.79,38.64,48.62,,water,0.99,44.77,45.22
Mon Nov 25 13:34:44 2019,normal,0.78,38.4,48.82,,water,0.99,45.03,45.34
Mon Nov 25 13:34:45 2019,normal,0.79,39.44,49.53,,water,0.97,44.12,45.16
Mon Nov 25 13:34:46 2019,normal,0.79,39.3,49.44,,water,0.99,44.93,45.15
Mon Nov 25 13:34:47 2019,normal,0.79,39.33,49.34,,water,0.97,44.15,45.15
Mon Nov 25 13:34:48 2019,normal,0.79,39.44,49.42,,water,0.97,44.03,45.17
Mon Nov 25 13:34:49 2019,normal,0.8,39.73,49.45,,water,0.98,44.38,45.24
Mon Nov 25 13:34:50 2019,normal,0.79,39.47,49.45,,water,0.97,44.15,45.16
Mon Nov 25 13:34:51 2019,normal,0.8,40.26,50.29,,water,1,45.23,45.15
Mon Nov 25 13:34:52 2019,normal,0.8,40.96,51.15,,water,1,45.32,45.09
Mon Nov 25 13:34:53 2019,normal,0.79,40.83,51.15,,water,0.99,45.45,45.54
Mon Nov 25 13:34:54 2019,normal,0.8,41.09,51.17,,water,0.97,44.41,45.52
Mon Nov 25 13:34:55 2019,normal,0.79,41.49,52.05,,water,0.99,45.32,45.53
Mon Nov 25 13:34:56 2019,normal,0.79,41.62,52.06,,water,0.99,45.71,45.89
Mon Nov 25 13:34:57 2019,normal,0.8,42.16,52.29,,water,0.97,44.8,45.81
Mon Nov 25 13:34:58 2019,normal,0.8,42.85,53.03,,water,0.99,45.58,45.81
Mon Nov 25 13:34:59 2019,normal,0.8,42.99,53.25,,water,0.97,44.67,45.79
Mon Nov 25 13:35:00 2019,normal,0.81,43.78,53.99,,water,0.98,45.32,45.79
Mon Nov 25 13:35:01 2019,normal,0.8,44.48,54.98,,water,0.99,45.61,45.78
