,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120646,1.256,769,31.54,0.11,241.6,59.99,11.0
1,201709120646,2.333,3,31.65,0.11,241.7,59.99,11.0
2,201709120648,2.287,129,31.64,0.12,241.9,59.97,11.0
3,201709120649,2.554,65,31.55,0.12,241.8,59.97,11.0
4,201709120650,2.765,51,31.74,0.12,241.6,59.99,11.0
5,201709120651,3.0,54,31.7,0.13,241.5,59.99,11.0
6,201709120652,3.128,47,31.64,0.13,241.6,59.99,11.0
7,201709120653,3.353,51,31.76,0.13,241.3,59.99,11.0
8,201709120654,3.538,52,31.72,0.14,241.3,59.99,11.0
9,201709120654,3.857,49,31.63,0.14,241.4,59.99,11.0
10,201709120655,4.118,51,31.66,0.14,241.8,60.01,11.0
11,201709120700,4.934,302,31.17,0.19,244.4,59.99,11.0
12,201709120705,6.22,300,31.17,0.22,245.0,59.99,11.0
13,201709120710,7.309,304,31.35,0.25,245.1,59.99,11.0
14,201709120715,8.697,304,31.62,0.32,243.3,59.98,11.0
15,201709120721,10.143,301,31.58,0.35,242.7,60.02,12.0
16,201709120726,11.261,303,31.84,0.38,241.8,60.02,12.0
17,201709120731,12.383,303,31.95,0.42,242.5,59.99,12.0
18,201709120736,14.405,301,32.17,0.49,242.1,59.99,12.0
19,201709120741,15.039,304,32.23,0.52,241.9,60.0,12.0
20,201709120746,18.58,300,32.41,0.62,242.8,60.01,12.0
21,201709120751,20.081,347,32.53,0.64,243.1,60.03,13.0
22,201709120756,21.093,300,32.53,0.7,242.5,60.02,13.0
23,201709120801,23.096,301,32.7,0.78,241.6,59.99,13.0
24,201709120807,26.433,305,32.72,0.81,242.6,59.99,13.0
25,201709120812,26.243,301,32.69,0.83,242.8,60.0,13.0
26,201709120823,31.019,677,32.76,1.09,243.7,59.98,14.0
27,201709120826,34.399,163,32.74,1.11,243.6,59.98,14.0
28,201709120826,36.14,50,33.15,1.16,243.4,60.0,14.0
29,201709120827,38.236,55,33.17,1.17,243.0,60.02,14.0
30,201709120828,37.64,50,33.16,1.17,243.0,60.01,14.0
31,201709120829,38.021,48,33.15,1.17,242.4,60.0,15.0
32,201709120830,38.173,52,33.18,1.21,243.5,60.02,15.0
33,201709120831,39.453,53,33.18,1.24,243.2,60.0,14.0
34,201709120832,40.396,48,33.18,1.26,243.1,59.99,14.0
35,201709120837,42.0,306,33.19,1.36,244.1,60.01,15.0
36,201709120842,44.973,299,33.21,1.49,245.0,60.0,15.0
37,201709120846,50.42,257,33.17,1.61,244.4,60.01,15.0
38,201709120851,54.304,303,33.53,1.86,244.7,60.0,16.0
39,201709120856,62.808,302,33.51,2.01,244.5,60.01,16.0
40,201709120901,64.079,302,33.42,1.94,245.1,59.98,17.0
41,201709120906,60.036,303,33.42,1.87,244.8,60.01,17.0
42,201709120911,60.288,302,33.37,1.87,244.0,60.01,17.0
43,201709120917,62.546,355,33.38,2.04,244.0,60.0,18.0
44,201709120927,84.448,612,33.8,3.05,246.2,60.01,19.0
45,201709120930,112.236,161,33.68,2.97,246.3,60.0,19.0
46,201709120931,94.277,47,33.51,2.6,245.9,59.98,19.0
47,201709120932,86.5,52,33.51,2.54,245.5,59.99,19.0
48,201709120932,84.1,50,33.67,2.38,245.3,59.99,19.0
49,201709120933,88.286,49,33.66,2.75,245.6,59.99,19.0
50,201709120934,95.038,52,33.66,2.79,245.2,59.99,20.0
51,201709120935,95.38,50,33.7,2.95,245.7,59.99,20.0
52,201709120936,115.104,48,33.85,3.61,246.5,59.98,20.0
53,201709120941,124.101,306,33.6,3.58,246.2,59.97,21.0
54,201709120946,141.625,299,33.52,4.9,247.5,59.99,21.0
55,201709120950,154.012,257,33.26,5.19,248.0,59.98,22.0
56,201709120955,171.308,302,32.86,5.32,248.2,59.98,23.0
57,201709121000,173.03,303,32.57,5.47,248.8,59.99,24.0
