,date_time,power,power_unknown,DCV,DCA,ACV,ACHZ,TMPI
0,201709120640,0.015,205,12.32,0.05,242.1,59.98,10.0
1,201709120647,0.208,427,28.45,0.08,241.4,59.98,10.0
2,201709120649,2.255,106,29.87,0.09,241.2,59.98,10.0
3,201709120650,2.483,58,30.15,0.09,241.5,59.98,11.0
4,201709120651,2.75,56,30.18,0.1,241.4,59.99,11.0
5,201709120651,2.959,49,30.18,0.11,241.5,59.99,11.0
6,201709120652,3.128,47,30.23,0.11,241.3,59.99,11.0
7,201709120653,3.288,52,30.38,0.12,241.7,59.99,11.0
8,201709120654,3.608,51,30.5,0.12,241.3,59.98,11.0
9,201709120655,3.833,48,30.64,0.13,241.6,59.99,11.0
10,201709120656,4.057,53,30.68,0.14,241.1,60.0,11.0
11,201709120701,4.947,300,31.09,0.19,244.1,59.99,11.0
12,201709120706,6.228,302,31.24,0.22,244.7,59.99,11.0
13,201709120711,7.319,304,31.21,0.24,244.9,59.99,11.0
14,201709120716,8.764,301,31.55,0.31,242.7,59.97,11.0
15,201709120721,10.076,303,31.62,0.33,241.8,60.01,11.0
16,201709120726,11.26,304,31.7,0.37,241.5,60.01,11.0
17,201709120731,12.315,302,31.97,0.42,242.8,59.99,12.0
18,201709120736,14.44,302,32.1,0.48,242.2,59.98,12.0
19,201709120741,15.033,303,32.26,0.51,242.0,60.0,12.0
20,201709120746,18.563,300,32.42,0.61,243.1,60.0,12.0
21,201709120752,19.98,347,32.51,0.64,243.2,60.02,12.0
22,201709120756,20.929,255,32.56,0.67,242.7,60.03,12.0
23,201709120801,22.615,301,32.7,0.76,242.0,59.99,13.0
24,201709120806,26.129,303,32.73,0.82,242.3,60.0,13.0
25,201709120811,25.961,304,32.72,0.82,242.6,60.01,13.0
26,201709120825,31.038,813,32.74,1.08,243.6,59.98,14.0
27,201709120825,34.0,15,32.75,1.09,243.9,59.98,14.0
28,201709120826,34.362,58,32.74,1.11,243.5,59.99,14.0
29,201709120827,36.649,57,33.17,1.15,242.9,60.01,14.0
30,201709120828,37.647,51,33.18,1.16,243.1,60.01,14.0
31,201709120828,37.667,48,33.16,1.16,243.1,60.01,14.0
32,201709120829,37.22,50,33.15,1.16,242.6,60.0,14.0
33,201709120830,39.055,55,33.19,1.21,243.1,60.01,14.0
34,201709120831,40.021,47,33.18,1.25,243.3,60.01,14.0
35,201709120836,41.414,304,33.17,1.34,244.4,60.02,14.0
36,201709120841,44.208,303,33.24,1.46,244.9,60.0,15.0
37,201709120846,50.073,300,33.18,1.6,244.8,60.01,15.0
38,201709120851,54.571,303,33.52,1.86,244.2,60.01,15.0
39,201709120856,62.69,303,33.54,2.0,245.1,60.03,16.0
40,201709120901,63.701,301,33.43,1.93,244.6,59.98,16.0
41,201709120906,59.658,304,33.43,1.88,244.8,60.01,17.0
42,201709120911,60.02,302,33.4,1.86,244.1,60.01,17.0
43,201709120929,80.03,1060,33.95,3.89,246.9,60.01,19.0
44,201709120929,124.125,16,33.87,3.64,246.7,60.02,19.0
45,201709120930,106.642,53,33.65,2.8,245.7,59.98,19.0
46,201709120931,88.76,50,33.58,2.55,245.7,59.99,19.0
47,201709120932,85.208,53,33.92,2.49,244.8,60.0,19.0
48,201709120933,81.646,48,33.65,2.55,245.2,59.99,19.0
49,201709120933,92.26,50,33.72,2.82,245.2,59.99,19.0
50,201709120934,93.491,53,33.71,2.77,245.4,59.99,19.0
51,201709120935,99.404,47,33.81,3.34,245.8,59.99,19.0
52,201709120940,124.944,303,33.5,3.0,246.5,59.98,20.0
53,201709120945,135.109,304,33.6,5.18,247.5,60.01,21.0
54,201709120950,155.791,301,33.29,5.18,247.9,59.98,22.0
55,201709120955,171.053,303,32.84,5.3,248.3,59.98,22.0
